date,samples_total,samples_new,tests_new,cases_total,isolation,discharged_total,active_cases,deaths_total,oxygen_support_active_patients,critical_care_active_patients,ventilator_support_active_patients,healthcare_first_vaccination_today,healthcare_first_vaccination_total,frontline_first_vaccination_today,frontline_first_vaccination_total,healthcare_second_vaccination_today,healthcare_second_vaccination_total,frontline_second_vaccination_today,frontline_second_vaccination_total,above_45_first_vaccination_today,above_45_first_vaccination_total,above_45_second_vaccination_today,above_45_second_vaccinattion_total,eighteen_44_first_vaccination_today,eighteen_44_first_vaccination_total,eighteen_44_second_vaccination_today,eighteen_44_second_vaccination_total,first_vaccination_today,second_vaccination_today,total_vaccination_today
2021-03-18,5493673,32784,31821,,,184848,14366,6204,274,,21,6703,227419,6703,227419,3068,78439,3068,78439,,,,,,,,,,,
2021-03-17,5460889,33792,33894,,,183557,13320,6172,283,,27,4942,220716,4942,220716,2419,75371,2419,75371,,,,,,,,,,,
2021-03-16,5427097,33272,20164,,,182283,12616,6137,272,,26,5368,215774,5368,215774,3144,72952,3144,72952,,,,,,,,,,,
2021-03-15,5393825,15294,27258,,,181532,11942,6099,258,,26,4481,210406,4481,210406,3330,69808,3330,69808,,,,,,,,,,,
2021-03-14,5378531,30959,32330,,,180133,11550,6072,229,,29,450,205925,450,205925,361,66478,361,66478,,,,,,,,,,,
2021-03-13,5347572,33640,24523,,,179295,10916,6052,212,,24,3349,205475,3349,205475,2542,66117,2542,66117,,,,,,,,,,,
2021-03-12,5313932,19644,36412,,,178271,10452,6030,222,,23,6178,202126,6178,202126,3778,63575,3778,63575,,,,,,,,,,,
2021-03-11,5294288,30388,30475,,,177280,10069,5996,182,,20,1386,195948,1386,195948,793,59797,793,59797,,,,,,,,,,,
2021-03-10,5263900,26997,29354,,,176660,9402,5978,176,,20,3946,194562,3946,194562,3120,59004,3120,59004,,,,,,,,,,,
2021-03-09,5236903,31883,21897,,,176164,8522,5961,157,,25,4591,190616,4591,190616,4102,55884,4102,55884,,,,,,,,,,,
2021-03-08,5205020,14492,28326,,,175659,8020,5941,127,,18,4035,186025,4035,186025,2290,51782,2290,51782,,,,,,,,,,,
2021-03-07,5190528,30845,31877,,,174967,7497,5927,143,,14,447,181990,447,181990,106,49492,106,49492,,,,,,,,,,,
2021-03-06,5159683,32721,34388,,,174274,7164,5910,131,,20,3172,181543,3172,181543,2386,49386,2386,49386,,,,,,,,,,,
2021-03-05,5126962,29160,29619,,,173630,6661,5898,110,,15,4713,178371,4713,178371,2694,47000,2694,47000,,,,,,,,,,,
2021-03-04,5097802,28421,28115,,,173230,6264,5887,94,,14,5211,173658,5211,173658,2498,44306,2498,44306,,,,,,,,,,,
2021-03-03,5069381,27548,26645,,,172845,5593,5872,99,,14,3741,168447,3741,168447,1655,41808,1655,41808,,,,,,,,,,,
2021-03-02,5041833,28716,19968,,,172480,5198,5860,113,,9,4725,164706,4725,164706,1581,40153,1581,40153,,,,,,,,,,,
2021-03-01,5013117,13727,16249,,,172106,4853,5850,106,,9,5915,159981,5915,159981,2380,38632,,,,,,,,,,,,,
2021-02-28,4999390,16617,27474,,,171712,4632,5832,81,,9,0,154066,0,154066,0,36252,,,,,,,,,,,,,
2021-02-27,4982773,29023,32520,,,171336,4436,5825,79,,14,0,154066,0,154066,0,36252,,,,,,,,,,,,,
2021-02-25,4926621,23997,24051,,,170713,3870,5799,82,,11,8892,148066,8892,148066,5258,32644,,,,,,,,,,,,,
2021-02-24,4902624,20460,22083,,,170435,3598,5786,82,,9,5587,139174,5587,139174,3521,27386,,,,,,,,,,,,,
2021-02-23,4882164,21729,13174,,,170187,3295,5779,77,,10,6283,133587,6283,133587,3462,23865,,,,,,,,,,,,,
2021-02-22,4860435,10088,15529,,,169911,3167,5769,77,,10,4908,127304,4908,127304,6136,20403,,,,,,,,,,,,,
2021-02-21,4850347,17129,19028,,,169686,3019,5754,69,,11,98,122396,98,122396,410,14267,,,,,,,,,,,,,
2021-02-20,4833218,19998,19619,,,169480,2883,5748,83,,10,2500,122298,2500,122298,4532,13857,,,,,,,,,,,,,
2021-02-19,4813220,18333,21127,,,169216,2803,5740,81,,8,,,,,3752,9325,,,,,,,,,,,,,
2021-02-17,4774987,19176,18978,,,168833,2546,5722,70,,8,,,,,1039,3049,,,,,,,,,,,,,
2021-02-16,4755811,20024,12826,,,168654,2401,5712,81,,6,,,,,1004,2010,,,,,,,,,,,,,
2021-02-15,4735787,8816,15321,,,168456,2357,5707,82,,6,,,,,949,1006,,,,,,,,,,,,,
2021-02-14,4726971,17852,17791,,,168239,2360,5697,96,,6,,,,,0,57,,,,,,,,,,,,,
2021-02-13,4709119,19629,20319,,,168035,2335,5694,93,,5,,,,,57,57,,,,,,,,,,,,,
2021-02-12,4689490,20323,20098,,,167814,2300,5690,90,,5,,,,,,,,,,,,,,,,,,,
2021-02-11,4669167,22359,22342,,,167652,2224,5682,88,,4,,,,,,,,,,,,,,,,,,,
2021-02-10,4646808,21141,21490,,,167465,2112,5675,87,,4,,,,,,,,,,,,,,,,,,,
2021-02-09,4625667,21758,14579,,,167285,2077,5661,85,,7,,,,,,,,,,,,,,,,,,,
2021-02-08,4603909,9802,13665,,,167073,2112,5653,89,,7,,,,,,,,,,,,,,,,,,,
2021-02-07,4594107,17149,20749,,,166828,2176,5642,97,,5,,,,,,,,,,,,,,,,,,,
2021-02-06,4576958,20288,20450,,,166643,2156,5640,81,,7,,,,,,,,,,,,,,,,,,,
2021-02-05,4556670,18549,18279,,,166477,2145,5634,92,,10,,,,,,,,,,,,,,,,,,,
2021-02-04,4538121,17332,17029,,,166263,2159,5635,72,,9,,,,,,,,,,,,,,,,,,,
