date,cases_new,cases_total,recovered_new,recovered_total,deaths_new,deaths_total,cases_in_isolation,state_CFR,national_CFR,state_recovery_rate,national_recovery_rate
26-10-2020,582,231834,1432,211912,4,1311,15582,0.56,1.5,91.4,90.2
27-10-2020,837,232671,1554,213466,4,1315,14851,0.56,1.5,91.14,90.3
28-10-2020,1481,234152,1451,214917,4,1319,14883,0.56,1.5,91.78,90.7
29-10-2020,1504,235656,1436,216353,5,1324,14938,0.56,1.5,91.8,90.9
30-10-2020,1531,237187,1048,217401,6,1330,15425,0.56,1.5,91.65,91
01-11-2020,1416,240048,1579,220466,5,1341,15388,0.55,1.5,91.84,91.5
02-11-2020,922,240970,1456,221992,7,1348,14717,0.55,1.5,92.12,91.6
03-11-2020,1536,242506,1421,223413,3,1351,14915,0.55,1.5,92.12,91.7
04-11-2020,1637,244143,1273,224686,6,1357,15335,0.55,1.5,92.03,92.1
05-11-2020,1539,245682,978,225664,5,1362,15864,0.55,1.5,91.85,92.2
06-11-2020,1602,247284,982,226646,4,1366,16522,0.55,1.5,91.65,92.3
07-11-2020,1607,248891,937,227583,6,1372,17134,0.55,1.5,91.43,92.4
08-11-2020,1440,250331,1481,229064,5,1377,17135,0.55,1.5,91.5,92.4
09-11-2020,857,251188,1504,230568,4,1381,16449,0.54,1.5,91.79,92.5
10-11-2020,1267,252455,1831,232489,4,1385,15794,0.54,1.5,92.09,92.6
11-11-2020,1196,253651,1745,234234,5,1390,15205,0.54,1.5,92.34,92.7
12-11-2020,1015,254666,1716,235950,3,1393,14694,0.54,1.5,92.65,92.8
13-11-2020,997,255663,1222,237172,4,1397,14466,0.54,1.5,92.76,92.9
14-11-2020,1050,256713,1736,238908,4,1401,13867,0.54,1.5,93.06,93
15-11-2020,661,257374,1637,240545,3,1404,12899,0.54,1.5,93.46,93.1
16-11-2020,502,257876,1539,242084,3,1407,11948,0.54,1.5,93.87,93.2
17-11-2020,952,258828,1602,243686,3,1410,11313,0.54,1.5,94.14,93.4
18-11-2020,948,259776,1607,245293,5,1415,10710,0.54,1.5,94.42,93.5
19-11-2020,1058,260834,1440,246733,4,1419,10352,0.54,1.5,94.59,93.6
20-11-2020,894,261728,1057,247790,4,1423,10245,0.54,1.5,94.67,93.6
21-11-2020,925,262653,1367,249157,3,1426,9741,0.54,1.5,94.86,93.6
22-11-2020,873,263526,1296,250453,4,1430,9345,0.54,1.5,94.03,93.7
23-11-2020,602,264128,1015,251468,3,1433,8942,0.54,1.5,95.2,93.7
24-11-2020,921,265049,1097,252565,4,1437,8720,0.54,1.5,95.28,93.7
25-11-2020,993,266042,1150,253715,4,1441,8594,0.54,1.5,95.36,93.7
26-11-2020,862,266904,961,254676,3,1444,8507,0.54,1.5,95.41,93.7
27-11-2020,761,267665,702,255378,4,1448,8651,0.54,1.5,95.4,93.6
28-11-2020,753,268418,952,256330,3,1451,8459,0.54,1.5,95.49,93.7
29-11-2020,805,269223,948,257278,4,1455,8367,0.54,1.5,95.56,93.7
30-11-2020,593,269816,1058,258336,3,1458,7946,0.54,1.5,95.74,93.8
10-12-2020,643,275904,805,266925,2,1482,5434,0.53,1.5,96.74,94.7
11-12-2020,612,276516,502,267427,3,1485,5511,0.53,1.5,96.71,94.8
12-12-2020,635,277151,565,267992,4,1489,5557,0.53,1.5,96.69,94.9
13-12-2020,573,277724,609,268601,4,1493,5546,0.53,1.5,96.71,94.9
15-12-2020,491,278599,596,269828,3,1499,5169,0.53,1.5,96.85,95.1
16-12-2020,536,279135,622,270450,3,1502,5041,0.53,1.5,96.88,95.2
17-12-2020,509,279644,517,270967,3,1505,5063,0.53,1.5,96.89,95.3
18-12-2020,551,280195,682,271649,1,1506,4955,0.53,1.5,96.94,95.4
19-12-2020,627,280822,721,272370,4,1510,4814,0.53,1.5,96.99,95.5
20-12-2020,592,281414,643,273013,3,1513,4719,0.53,1.5,97.01,95.5
21-12-2020,316,281730,612,273625,2,1515,4467,0.53,1.5,97.12,95.5
22-12-2020,617,282347,635,274260,3,1518,4400,0.53,1.5,97.13,95.6
23-12-2020,635,282982,573,274833,4,1522,4467,0.53,1.5,97.12,95.7
24-12-2020,574,283556,384,275217,2,1524,4487,0.53,1.4,97.05,95.7
25-12-2020,518,284074,491,275708,3,1527,4723,0.53,1.4,97.05,95.8
26-12-2020,317,284391,536,276244,2,1529,4535,0.53,1.4,97.13,95.8
27-12-2020,472,284863,509,276753,2,1531,4426,0.53,1.4,97.15,95.8
28-12-2020,205,285068,551,277304,2,1533,4136,0.53,1.4,97.27,95.8
29-12-2020,397,285465,627,277931,2,1535,3838,0.53,1.4,97.36,95.9
30-12-2020,474,285939,592,278523,3,1538,3735,0.53,1.4,97.4,96
01-01-2021,461,286815,617,279456,3,1544,3674,0.53,1.4,97.43,96.1
02-01-2021,293,287108,535,279991,2,1546,3418,0.53,1.4,97.52,96.1
03-01-2021,394,287502,574,280565,3,1549,3210,0.53,1.4,97.58,96.1
04-01-2021,238,287740,518,281083,2,1551,2942,0.53,1.4,97.68,96.2
05-01-2021,253,287993,317,281400,3,1554,2793,0.53,1.4,97.71,96.3
06-01-2021,417,288410,472,281872,2,1556,2748,0.53,1.4,97.73,96.3
07-01-2021,379,288789,305,282177,3,1559,2776,0.53,1.4,97.71,96.4
08-01-2021,346,289135,397,282574,2,1561,2798,0.53,1.4,97.73,96.4
09-01-2021,298,289433,474,283048,2,1563,2614,0.54,1.4,97.79,96.4
10-01-2021,351,289784,415,283463,2,1565,2584,0.54,1.4,97.81,96.4
11-01-2021,224,290008,461,283924,1,1566,2439,0.54,1.4,97.9,96.4
12-01-2021,301,290309,293,284217,2,1568,2459,0.54,1.4,97.9,96.5
13-01-2021,331,290640,394,284611,3,1571,2461,0.54,1.4,97.92,96.5
14-01-2021,276,290916,238,284849,1,1572,2487,0.54,1.4,97.91,96.5
15-01-2021,202,291118,253,285102,2,1574,2541,0.54,1.4,97.93,96.5
16-01-2021,249,291367,417,285519,1,1575,2381,0.54,1.4,97.99,96.5
17-01-2021,299,291666,379,285898,2,1577,2395,0.54,1.4,98.02,96.6
18-01-2021,206,291872,346,286244,2,1579,2281,0.54,1.4,98.07,96.6
19-01-2021,256,292128,298,286542,2,1581,2283,0.54,1.4,98.08,96.6
20-01-2021,267,292395,351,286893,2,1583,2270,0.54,1.4,98.11,96.7
21-01-2021,226,292621,224,287117,1,1584,2322,0.54,1.4,98.11,96.7
22-01-2021,214,292835,351,287468,2,1586,2178,0.54,1.4,98.16,96.8
23-01-2021,221,293056,431,287899,2,1588,1973,0.54,1.4,98.24,96.8
24-01-2021,197,293253,376,288275,1,1589,1842,0.54,1.4,98.3,96.8
25-01-2021,148,293401,302,288577,1,1590,1697,0.54,1.4,98.35,96.8
26-01-2021,189,293590,349,288926,2,1592,1543,0.54,1.4,98.41,96.9
27-01-2021,147,293737,399,289325,1,1593,1295,0.54,1.4,98.49,96.9
28-01-2021,186,293923,306,289631,1,1594,1213,0.54,1.4,98.53,96.9
29-01-2021,197,294120,356,289987,2,1596,1083,0.54,1.4,98.59,96.9
01-02-2021,118,294587,264,290894,2,1601,723,0.54,1.4,98.74,97
02-02-2021,152,294739,221,291115,1,1602,659,0.54,1.4,98.77,97
03-02-2021,185,294924,197,291312,2,1604,730,0.54,1.4,98.77,97.1
04-02-2021,177,295101,198,291510,2,1606,776,0.54,1.4,98.78,97.1
05-02-2021,169,295270,189,291699,1,1607,780,0.54,1.4,98.79,97.1
06-02-2021,161,295431,147,291846,1,1608,845,0.54,1.4,98.78,97.2
07-02-2021,150,295581,186,292032,2,1610,808,0.54,1.4,98.79,97.2
08-02-2021,101,295682,197,292229,1,1611,751,0.54,1.4,98.83,97.2
09-02-2021,149,295831,186,292415,1,1612,694,0.54,1.4,98.84,97.2
10-02-2021,157,295988,163,292578,1,1613,729,0.54,1.4,98.84,97.2
11-02-2021,146,296134,118,292696,0,1613,765,0.54,1.4,98.83,97.2
12-02-2021,143,296277,152,292848,1,1614,838,0.54,1.4,98.84,97.3
13-02-2021,151,296428,185,293033,0,1614,789,0.54,1.4,98.85,97.3
14-02-2021,146,296574,177,293210,2,1616,749,0.54,1.4,98.86,97.3
15-02-2021,99,296673,169,293379,2,1618,705,0.54,1.4,98.88,97.3
16-02-2021,129,296802,161,293540,1,1619,637,0.54,1.4,98.9,97.3
17-02-2021,148,296950,150,293690,1,1620,641,0.54,1.4,98.9,97.3
18-02-2021,163,297113,101,293791,2,1622,658,0.54,1.4,98.88,97.3
19-02-2021,165,297278,149,293940,1,1623,681,0.54,1.4,98.87,97.3
20-02-2021,157,297435,157,294097,0,1623,649,0.54,1.4,98.87,97.3
21-02-2021,163,297598,146,294243,1,1624,678,0.54,1.4,98.87,97.2
22-02-2021,114,297712,143,294386,1,1625,645,0.54,1.4,98.88,97.2
23-02-2021,149,297861,151,294537,2,1627,605,0.54,1.4,98.88,97.2
24-02-2021,196,298057,146,294683,2,1629,670,0.54,1.4,98.86,97.2
25-02-2021,207,298264,99,294782,1,1630,757,0.54,1.4,98.83,97.2
26-02-2021,189,298453,129,294911,2,1632,818,0.54,1.4,98.81,97.2
27-02-2021,178,298631,148,295059,1,1633,850,0.54,1.4,98.8,97.1
01-03-2021,116,298923,165,295387,0,1634,804,0.54,1.4,98.81,97.1
02-03-2021,163,299086,157,295544,1,1635,774,0.54,1.4,98.81,97.1
03-03-2021,168,299254,163,295707,0,1635,796,0.54,1.4,98.81,97
04-03-2021,152,299406,114,295821,2,1637,835,0.54,1.4,98.8,97
05-03-2021,166,299572,149,295970,2,1639,830,0.54,1.4,98.79,97
06-03-2021,170,299742,196,296166,1,1640,812,0.54,1.4,98.8,97
07-03-2021,158,299900,207,296373,1,1641,748,0.54,1.4,98.82,96.9
08-03-2021,111,300011,189,296562,1,1642,689,0.54,1.4,98.85,96.9
09-03-2021,142,300153,178,296740,2,1644,633,0.54,1.4,98.86,96.9
10-03-2021,189,300342,176,296916,2,1646,693,0.54,1.4,98.85,96.9
11-03-2021,194,300536,116,297032,3,1649,730,0.54,1.4,98.83,96.9
12-03-2021,181,300717,163,297195,1,1650,733,0.54,1.4,98.82,96.8
13-03-2021,216,300933,168,297363,2,1652,749,0.54,1.4,98.81,96.8
14-03-2021,228,301161,152,297515,1,1653,795,0.54,1.4,98.78,96.7
15-03-2021,157,301318,166,297681,1,1654,718,0.54,1.4,98.79,96.7
16-03-2021,204,301522,170,297851,2,1656,624,0.54,1.4,98.78,96.6
17-03-2021,247,301769,158,298009,3,1659,716,0.54,1.4,98.75,96.5
18-03-2021,278,302047,111,298120,3,1662,830,0.55,1.4,98.69,96.4
19-03-2021,313,302360,142,298262,2,1664,943,0.55,1.4,98.64,96.2
20-03-2021,364,302724,189,298451,2,1666,980,0.55,1.4,98.58,96.1
21-03-2021,394,303118,194,298645,3,1669,1123,0.55,1.4,98.52,95.9
22-03-2021,337,303455,181,298826,2,1671,1226,0.55,1.4,98.47,95.7
23-03-2021,412,303867,216,299042,3,1674,1285,0.55,1.4,98.41,95.7
24-03-2021,431,304298,228,299270,2,1676,1395,0.55,1.4,98.34,95.5
25-03-2021,493,304791,157,299427,4,1680,1616,0.55,1.4,98.24,95.3
26-03-2021,518,305309,204,299631,3,1683,1767,0.55,1.4,98.14,95.1
27-03-2021,495,305804,247,299878,2,1685,1870,0.55,1.4,98.06,94.8
28-03-2021,535,306339,278,300156,3,1688,1979,0.55,1.3,97.98,94.6
29-03-2021,403,306742,313,300469,2,1690,1815,0.55,1.3,97.95,94.3
30-03-2021,463,307205,364,300833,4,1694,1723,0.55,1.3,97.92,94.2
31-03-2021,684,307889,394,301227,3,1697,1873,0.55,1.3,97.83,94.1
01-04-2021,887,308776,337,301564,4,1701,2166,0.55,1.3,97.66,93.9
02-04-2021,965,309741,312,301876,5,1706,2622,0.55,1.3,97.46,93.7
03-04-2021,1078,310819,331,302207,6,1712,3116,0.55,1.3,97.22,93.3
04-04-2021,1321,312140,293,302500,5,1717,3866,0.55,1.3,96.91,93.1
05-04-2021,1097,313237,268,302768,6,1723,4458,0.55,1.3,96.65,92.8
06-04-2021,1498,314735,245,303013,6,1729,5323,0.54,1.3,96.27,92.5
07-04-2021,1914,316649,285,303298,5,1734,6634,0.54,1.3,95.78,92.1
08-04-2021,2055,318704,303,303601,7,1741,8263,0.54,1.3,95.26,91.7
09-04-2021,2478,321182,363,303964,5,1746,9674,0.54,1.3,94.63,91.2
10-04-2021,2909,324091,584,304548,6,1752,11495,0.54,1.3,93.96,90.8
11-04-2021,3187,327278,787,305335,7,1759,13366,0.53,1.3,93.29,90.4
12-04-2021,2251,329529,565,305900,6,1765,14431,0.53,1.3,92.82,89.9
13-04-2021,3052,332581,778,306678,7,1772,16118,0.53,1.3,92.21,89.5
14-04-2021,2157,334738,821,307499,8,1780,16892,0.53,1.2,91.86,88.9
15-04-2021,3307,338045,897,308396,8,1788,18685,0.52,1.2,91.22,88.3
16-04-2021,3840,341885,1198,309594,9,1797,20215,0.52,1.2,90.55,87.8
17-04-2021,4446,346331,1414,311008,12,1809,22118,0.52,1.2,89.8,87.2
18-04-2021,5093,351424,1555,312563,15,1824,24156,0.51,1.2,88.94,86.6
10-05-2021,4826,502187,7754,436619,32,2771,62797,0.55,1.1,86.94,82.3
11-05-2021,4801,506988,7430,444049,32,2803,60136,0.55,1.1,87.58,82.7
12-05-2021,4723,511711,5695,449744,31,2834,59133,0.55,1.1,87.89,83
13-05-2021,4693,516404,6876,456620,33,2867,56917,0.55,1.1,88.42,83.2
14-05-2021,4305,520709,6361,462981,29,2896,54832,0.55,1.1,88.91,83.4
15-05-2021,4298,525007,6026,469007,32,2928,53072,0.55,1.1,89.33,83.8
16-05-2021,3816,528823,5892,474899,27,2955,50969,0.55,1.1,89.8,84.2
17-05-2021,3961,532784,5559,480458,30,2985,49341,0.56,1.1,90.17,84.8
18-05-2021,3982,536766,5186,485644,27,3012,48110,0.56,1.1,90.47,85.6
19-05-2021,3837,540603,4976,490620,25,3037,46946,0.56,1.1,90.75,86.2
20-05-2021,3660,544263,4826,495446,23,3060,45757,0.56,1.1,91.03,86.7
21-05-2021,3464,547727,4801,500247,25,3085,44395,0.56,1.1,91.33,87.2
22-05-2021,3308,551035,4723,504970,21,3106,42959,0.56,1.1,91.64,87.7
23-05-2021,2242,553277,4693,509663,19,3125,40489,0.56,1.1,92.11,88.3
24-05-2021,3043,556320,4693,513968,21,3146,39206,0.56,1.1,92.38,88.7
25-05-2021,3821,560141,4298,518266,23,3169,38706,0.56,1.1,92.52,89.2
26-05-2021,3762,563903,3816,522082,20,3189,38632,0.56,1.1,92.58,89.6
27-05-2021,3614,567517,3961,526043,18,3207,38267,0.56,1.2,92.69,90
28-05-2021,3527,571044,3982,530025,19,3226,37793,0.56,1.2,92.81,90.3
29-05-2021,2982,574026,3837,533862,21,3247,36917,0.56,1.2,93,90.8
30-05-2021,1801,575827,3660,537522,16,3263,35042,0.56,1.2,93.34,91.4
31-05-2021,2524,578351,3464,540986,18,3281,34084,0.56,1.2,93.53,91.6
01-06-2021,2493,580844,3308,544294,15,3296,33254,0.56,1.2,93.7,92.04
02-06-2021,2384,583228,2242,546536,17,3313,33379,0.56,1.2,93.7,92.4
03-06-2021,2261,585489,3043,549579,18,3331,32579,0.56,1.2,93.86,92.7
04-06-2021,2175,587664,3821,553400,15,3346,30918,0.56,1.2,94.16,93
05-06-2021,2070,589734,3762,557162,18,3364,29208,0.57,1.2,94.47,93.3
06-06-2021,1436,591170,3614,560776,14,3378,27016,0.57,1.2,94.85,93.62
07-06-2021,1933,593103,3527,564303,16,3394,25406,0.57,1.2,95.14,93.9
08-06-2021,1897,595000,2982,567285,15,3409,24306,0.57,1.2,95.34,94.25
09-06-2021,1813,596813,1801,569086,17,3426,24301,0.57,1.2,95.35,94.5
10-06-2021,1798,598611,2524,571610,14,3440,23561,0.57,1.2,95.48,94.71
11-06-2021,1707,600318,2493,574103,16,3456,22759,0.57,1.2,95.63,94.88
12-06-2021,1771,602089,2384,576487,13,3469,22133,0.57,1.3,95.74,95
13-06-2021,1280,603369,2261,578748,15,3484,21137,0.57,1.3,95.91,95.22
14-06-2021,1511,604880,2175,580923,12,3496,20461,0.57,1.3,96.03,95.39
15-06-2021,1556,606436,2070,582993,14,3510,19933,0.57,1.3,96.13,95.6
16-06-2021,1489,607925,1436,584429,11,3521,19975,0.57,1.3,96.13,95.76
17-06-2021,1492,609417,1933,586362,13,3534,19521,0.57,1.3,96.21,95.89
18-06-2021,1417,610834,1897,588259,12,3546,19029,0.58,1.3,96.3,95.99
19-06-2021,1362,612196,1813,590072,10,3556,18568,0.58,1.3,96.38,96.12
20-06-2021,1006,613202,1798,591870,11,3567,17765,0.58,1.3,96.52,96.27
21-06-2021,1197,614399,1707,593577,9,3576,17246,0.58,1.3,96.61,96.32
22-06-2021,1175,615574,1771,595348,10,3586,16640,0.58,1.3,96.71,96.45
23-06-2021,1114,616688,1280,596628,12,3598,16462,0.58,1.3,96.74,96.52
24-06-2021,1088,617776,1511,598139,9,3607,16030,0.58,1.3,96.82,96.58
25-06-2021,1061,618837,1556,599695,11,3618,15524,0.58,1.3,96.9,96.62
26-06-2021,1028,619865,1489,601184,9,3627,15054,0.58,1.3,96.98,96.69
27-06-2021,748,620613,1492,602676,8,3635,14302,0.58,1.3,97.1,96.72
28-06-2021,993,621606,1417,604093,9,3644,13869,0.58,1.3,97.18,96.76
29-06-2021,987,622593,1362,605455,7,3651,13487,0.58,1.3,97.24,96.83
30-06-2021,917,623510,1006,606461,10,3661,13388,0.58,1.3,97.26,96.88
01-07-2021,869,624379,1197,607658,8,3669,13052,0.58,1.3,97.32,96.93
02-07-2021,858,625237,1175,608833,9,3678,12726,0.58,1.3,97.37,96.97
03-07-2021,848,626085,1114,609947,6,3684,12454,0.58,1.3,97.42,97.03
04-07-2021,605,626690,1088,611035,7,3691,11964,0.58,1.3,97.5,97.07
05-07-2021,808,627498,1061,612096,7,3698,11704,0.58,1.3,97.54,97.07
06-07-2021,784,628282,1028,613124,5,3703,11455,0.58,1.3,97.58,97.14
07-07-2021,772,629054,748,613872,7,3710,11472,0.58,1.3,97.58,97.15
08-07-2021,731,629785,993,614865,4,3714,11206,0.58,1.3,97.63,97.14
09-07-2021,729,630514,987,615852,6,3720,10942,0.58,1.3,97.67,97.16
10-07-2021,704,631218,917,616769,5,3725,10724,0.59,1.3,97.71,97.17
11-07-2021,465,631683,869,617638,4,3729,10316,0.59,1.3,97.77,97.18
12-07-2021,696,632379,858,618496,6,3735,10148,0.59,1.3,97.8,97.18
13-07-2021,767,633146,848,619344,3,3738,10064,0.59,1.3,97.82,97.24
14-07-2021,749,633895,605,619949,5,3743,10203,0.59,1.3,97.79,97.26
15-07-2021,710,634605,808,620757,4,3747,10101,0.59,1.3,97.81,97.25
16-07-2021,715,635320,784,621541,4,3751,10028,0.59,1.3,97.83,97.26
17-07-2021,729,636049,772,622313,5,3756,9980,0.59,1.3,97.84,97.28
18-07-2021,578,636627,731,623044,3,3759,9824,0.59,1.3,97.86,97.28
19-07-2021,746,637373,729,623773,5,3764,9836,0.59,1.3,97.86,97.29
20-07-2021,657,638030,704,624477,2,3766,9787,0.59,1.3,97.87,97.34
21-07-2021,691,638721,565,625042,5,3771,9908,0.59,1.3,97.85,97.33
22-07-2021,648,639369,696,625738,3,3774,9857,0.59,1.3,97.86,97.32
23-07-2021,643,640012,767,626505,4,3778,9729,0.59,1.3,97.88,97.34
24-07-2021,647,640659,749,627254,2,3780,9625,0.59,1.3,97.9,97.32
25-07-2021,494,641153,710,627964,4,3784,9405,0.59,1.3,97.94,97.32
26-07-2021,638,641791,715,628679,3,3787,9325,0.59,1.3,97.95,97.32
27-07-2021,645,642436,729,629408,4,3791,9237,0.59,1.3,97.97,97.36
28-07-2021,657,643093,578,629986,2,3793,9314,0.58,1.3,97.96,97.37
29-07-2021,623,643716,746,630732,3,3796,9188,0.58,1.3,97.98,97.35
30-07-2021,614,644330,657,631389,4,3800,9141,0.58,1.3,97.99,97.35
01-08-2021,455,645406,648,632728,3,3805,8873,0.58,1.3,98.03,97.34
02-08-2021,591,645997,643,633371,2,3807,8819,0.58,1.3,98.04,97.33
03-08-2021,609,646606,647,634018,4,3811,8777,0.58,1.3,98.05,97.36
04-08-2021,623,647229,594,634612,3,3814,8803,0.58,1.3,98.05,97.34
05-08-2021,582,647811,638,635250,3,3817,8744,0.58,1.3,98.06,97.34
06-08-2021,577,648388,645,635895,2,3819,8674,0.58,1.3,98.07,97.33
08-08-2021,449,649406,623,637175,2,3825,8406,0.58,1.3,98.11,97.36
09-08-2021,453,649859,614,637789,3,3828,8242,0.58,1.3,98.14,97.38
10-08-2021,494,650353,621,638410,3,3831,8112,0.58,1.3,98.16,97.42
11-08-2021,482,650835,455,638865,2,3833,8137,0.58,1.3,98.16,97.43
12-08-2021,453,651288,591,639456,3,3836,8137,0.58,1.3,98.18,97.43
13-08-2021,427,651715,609,640065,2,3838,7812,0.58,1.3,98.21,97.43
14-08-2021,420,652135,623,640688,3,3841,7606,0.58,1.3,98.24,97.43
15-08-2021,245,652380,582,641270,1,3842,7268,0.58,1.3,98.29,97.44
16-08-2021,405,652785,577,641847,3,3845,7093,0.58,1.3,98.32,97.45
17-08-2021,417,653202,569,642416,2,3847,6939,0.58,1.3,98.34,97.49
18-08-2021,424,653626,449,642865,2,3849,6912,0.58,1.3,98.35,97.5
19-08-2021,409,654035,453,643318,3,3852,6865,0.58,1.3,98.36,97.51
20-08-2021,359,654394,494,643812,2,3854,6728,0.58,1.3,98.38,97.51
21-08-2021,364,654758,482,644294,2,3856,6608,0.58,1.3,98.4,97.52
22-08-2021,231,654989,453,644747,2,3858,6384,0.58,1.3,98.43,97.54
23-08-2021,354,655343,427,645174,3,3861,6308,0.58,1.3,98.44,97.6
24-08-2021,389,655732,420,645594,1,3862,6276,0.58,1.3,98.45,97.65
25-08-2021,366,656098,345,645939,2,3864,6295,0.58,1.3,98.45,97.64
26-08-2021,357,656455,405,646344,1,3865,6246,0.58,1.3,98.45,97.6
27-08-2021,339,656794,417,646761,2,3867,6166,0.58,1.3,98.47,97.54
28-08-2021,325,657119,424,647185,2,3869,6065,0.58,1.3,98.48,97.53
29-08-2021,257,657376,409,647594,1,3870,5912,0.58,1.3,98.51,97.51
30-08-2021,340,657716,359,647953,2,3872,5891,0.58,1.3,98.51,97.49
01-09-2021,322,658376,331,648648,3,3876,5852,0.58,1.3,98.52,97.48
02-09-2021,313,658689,354,649002,2,3878,5809,0.58,1.3,98.52,97.45
03-09-2021,318,659007,389,649391,2,3880,5736,0.58,1.3,98.54,97.42
04-09-2021,306,659313,366,649757,3,3883,5673,0.58,1.3,98.55,97.4
05-09-2021,230,659543,357,650114,1,3884,5545,0.58,1.3,98.57,97.4
06-09-2021,301,659844,339,650453,2,3886,5505,0.58,1.3,98.57,97.41
07-09-2021,298,660142,325,650778,2,3888,5476,0.58,1.3,98.58,97.45
08-09-2021,329,660471,307,651085,1,3889,5497,0.58,1.3,98.57,97.45
