date,cases_new,cases_total,discharged_total,discharged_new,deaths_total,deaths_new,cases_active_total,cases_active_new,discharge_rate,fatality_rate
28-08-2020,2982,153754,124332,3286,3073,56,26349,-360,80.86,
27-08-2020,2997,150772,121046,3189,3017,53,26709,-245,80.28,
26-08-2020,2974,147775,117857,3314,2964,55,26954,-395,79.75,
25-08-2020,2964,144801,114543,3251,2909,58,27349,-345,79.1,
24-08-2020,2967,141837,111292,3285,2851,57,27694,-375,78.46,
23-08-2020,3274,138870,108007,3048,2794,57,28069,169,77.78,
22-08-2020,3232,135596,104959,3088,2737,48,27900,96,77.41,
21-08-2020,3245,132364,101871,3082,2689,55,27804,108,76.96,
20-08-2020,3197,129119,98789,3126,2634,53,27696,18,76.51,
19-08-2020,3169,125922,95663,2973,2581,53,27678,143,75.97,
18-08-2020,3175,122753,92690,2987,2528,55,27535,133,75.51,
17-08-2020,3080,119578,89703,2932,2473,45,27402,103,75.02,
16-08-2020,3066,116498,86771,2935,2428,51,27299,80,74.48,
15-08-2020,3074,113432,83836,2647,2377,58,27219,369,73.91,
13-08-2020,2997,107323,78617,2497,2259,56,26447,444,73.25,
12-08-2020,2936,104326,76120,2725,2203,54,26003,157,72.96,
11-08-2020,2931,101390,73395,3067,2149,49,25846,-185,72.39,
09-08-2020,2939,95554,67120,1996,2059,54,26375,889,70.24,
06-08-2020,2954,86754,61023,2061,1902,56,23829,837,70.34,
03-08-2020,2716,78232,54818,2088,1731,53,21683,575,70.07,
02-08-2020,2739,75516,52730,2213,1678,49,21108,477,69.83,
01-08-2020,2589,72777,50517,2143,1629,48,20631,398,69.41,
30-07-2020,2434,67692,46256,2140,1536,46,19900,248,68.33,
29-07-2020,2294,65258,44116,2094,1490,41,19652,159,67.6,
28-07-2020,2134,62964,42022,2105,1449,38,19493,-9,66.74,
27-07-2020,2112,60830,39917,2166,1411,39,19502,-93,65.62,
26-07-2020,2341,58718,37751,2097,1372,40,19595,204,64.29,
25-07-2020,2404,56377,35654,2125,1332,42,19391,237,63.24,
24-07-2020,2216,53973,33529,1873,1290,35,19154,308,62.12,
23-07-2020,2436,51757,31656,2006,1255,34,18846,396,61.16,
22-07-2020,2291,49321,29650,1615,1221,39,18450,637,60.11,
21-07-2020,2261,47030,28035,1617,1182,35,17813,609,59.61,
20-07-2020,2282,44769,26418,1535,1147,35,17204,712,59.01,
19-07-2020,2278,42487,24883,1344,1112,36,16492,898,58.56,
18-07-2020,2198,40209,23539,1286,1076,27,15594,885,58.54,
17-07-2020,1894,38011,22253,838,1049,26,14709,1030,58.54,
16-07-2020,1690,36117,21415,735,1023,23,13679,932,59.29,
15-07-2020,1589,34427,20680,749,1000,20,12747,820,60.06,
14-07-2020,1390,32838,19931,718,980,24,11927,648,60.69,
13-07-2020,1435,31448,19213,632,956,24,11279,779,61.09,
12-07-2020,1560,30013,18581,622,932,26,10500,912,61.9,
11-07-2020,1344,28453,17959,611,906,26,9588,707,63.11,
10-07-2020,1198,27109,17348,522,880,26,8881,650,63.99,
09-07-2020,1088,25911,16826,535,854,27,8231,526,64.93,
08-07-2020,986,24823,16291,501,827,23,7705,462,65.62,
07-07-2020,850,23837,15790,555,804,25,7243,270,66.24,
06-07-2020,861,22987,15235,524,779,22,6973,315,66.27,
05-07-2020,895,22126,14711,545,757,21,6658,329,66.48,
04-07-2020,743,21231,14166,595,736,19,6329,129,66.72,
03-07-2020,669,20488,13571,534,717,18,6200,117,66.23,
02-07-2020,649,19819,13037,509,699,16,6083,124,65.78,
01-07-2020,611,19170,12528,398,683,15,5959,198,65.35,
30-06-2020,652,18559,12130,411,668,15,5761,226,65.35,
29-06-2020,624,17907,11719,526,653,14,5535,84,65.44,
28-06-2020,572,17283,11193,404,639,10,5451,158,64.76,
27-06-2020,521,16711,10789,254,629,13,5293,254,64.56,
26-06-2020,542,16190,10535,345,616,10,5039,187,65.07,
25-06-2020,475,15648,10190,488,606,15,4852,-28,65.12,
24-06-2020,445,15173,9702,484,591,11,4880,-50,63.94,
23-06-2020,370,14728,9218,531,580,11,4930,-172,62.58,
22-06-2020,413,14358,8687,390,569,14,5102,9,60.5,
21-06-2020,414,13945,8297,432,555,15,5093,-33,59.49,
20-06-2020,441,13531,7865,562,540,11,5126,-132,58.12,
19-06-2020,355,13090,7303,302,529,11,5258,42,55.79,
18-06-2020,435,12735,7001,468,518,12,5216,-45,54.97,
17-06-2020,391,12300,6533,505,506,11,5261,-125,53.11,
16-06-2020,415,11909,6028,534,495,10,5386,-129,50.61,
15-06-2020,407,11494,5494,434,485,10,5515,-37,47.79,
14-06-2020,389,11087,5060,518,475,12,5552,-141,45.63,
13-06-2020,454,10698,4542,336,463,12,5693,106,42.45,
12-06-2020,476,10244,4206,218,451,9,5587,249,41.05,
11-06-2020,440,9768,3988,209,442,10,5338,221,40.82,
10-06-2020,343,9328,3779,159,432,17,5117,167,40.51,
09-06-2020,372,8985,3620,155,415,10,4950,207,40.28,
08-06-2020,426,8613,3465,162,405,9,4743,255,40.22,
05-05-2020,85,1344,264,,72,,,,19.64,
23-09-2021,746,1564139,1537732,754,18703,12,7704,-20,98.31,1.20%
24-09-2021,744,1564883,1538478,746,18716,13,7689,-15,98.31,1.20%
25-09-2021,762,1565645,,,,,7674,-15,,
26-09-2021,748,1566393,,,,,7683,9,,
27-09-2021,472,1566865,,,,,7584,-99,,
28-09-2021,708,1567573,,,,,7586,2,,
29-09-2021,748,1568321,,,,,7580,-6,,
01-10-2021,708,1569778,1543401,694,18806,13,7571,1,98.32,1.20%
30-09-2021,749,1569070,1542707,744,18793,15,7570,-10,98.32,1.20%
02-10-2021,761,1570539,,,,,7580,9,,
03-10-2021,701,1571240,1544828,684,18825,10,7587,7,98.32,1.20%
04-10-2021,601,1571841,1545400,572,18837,12,7604,17,98.32,1.20%
05-10-2021,619,1572460,1546037,637,18848,11,7575,-29,98.32,1.20%
06-10-2021,786,1573246,1546792,755,18863,15,7591,16,98.32,1.20%
07-10-2021,771,1574017,1547548,756,18876,13,7593,2,98.32,1.20%
08-10-2021,784,1574801,1548294,746,18882,6,7625,32,98.32,1.20%
10-10-2021,760,1576337,,,,,7649,15,,
11-10-2021,606,1576943,1550380,597,18914,9,,,98.32,1.20%
12-10-2021,768,1577711,1551115,735,18924,10,7672,23,98.31,1.20%
13-10-2021,771,1578482,,,,,7657,-15,,
14-10-2021,530,1579012,,,,,7576,-81,,
15-10-2021,451,1579463,,,,,7513,-63,,
16-10-2021,443,1579906,,,,,7445,-68,,
17-10-2021,624,1580530,,,,,7421,-24,,
18-10-2021,690,1581220,1554815,683,18989,12,7416,-5,98.33,1.20%
19-10-2021,726,1581946,1555520,705,18998,9,7428,12,98.33,1.20%
20-10-2021,867,1582813,1556315,795,19007,9,7491,63,98.33,1.20%
21-10-2021,833,1583646,1557090,775,19021,14,7535,44,98.32,1.20%
22-10-2021,846,1584492,1557882,792,19033,12,7577,42,98.32,1.20%
23-10-2021,974,1585466,1558690,808,19045,12,7731,154,98.31,1.20%
24-10-2021,989,1586455,1559518,828,19055,10,7882,151,98.3,1.20%
25-10-2021,805,1587260,1560325,807,19066,11,7869,-13,98.3,1.20%
27-10-2021,976,1589042,1561973,837,19096,15,7973,124,98.3,1.20%
26-10-2021,806,1588066,1561136,811,19081,15,7849,-20,98.3,1.20%
28-10-2021,990,1590032,1562818,845,19105,9,8109,136,98.29,1.20%
29-10-2021,982,1591014,1563678,860,19113,8,8223,114,98.28,1.20%
30-10-2021,980,1591994,1564558,880,19126,13,8310,87,98.28,1.20%
31-10-2021,914,1592908,1565471,913,19141,15,8296,-14,98.28,1.20%
01-11-2021,725,1593633,1566338,867,19149,8,8146,-150,98.29,1.20%
02-11-2021,862,1594495,1567209,871,19160,11,8126,-20,98.29,1.20%
03-11-2021,919,1595414,1568088,879,19174,14,8152,26,98.29,1.20%
04-11-2021,918,1596332,1568951,863,19188,14,8193,41,98.28,1.20%
05-11-2021,763,1597095,1569757,806,19201,13,8137,-56,98.29,1.20%
06-11-2021,670,1597765,1570521,764,19215,14,8029,-108,98.29,1.20%
07-11-2021,723,1598488,1571295,774,19226,11,7967,-62,98.3,1.20%
08-11-2021,603,1599091,1571952,657,19240,14,7899,-68,98.3,1.20%
09-11-2021,788,1599879,1572711,759,19252,12,7916,17,98.3,1.20%
11-11-2021,854,1601586,1574333,813,19280,13,7973,28,98.3,1.20%
10-11-2021,853,1600732,1573520,809,19267,15,7945,29,98.3,1.20%
12-11-2021,860,1602446,1575152,819,19294,14,8000,27,98.3,1.20%
13-11-2021,872,1603318,1575980,828,19307,13,8031,31,98.29,1.20%
14-11-2021,875,1604193,1576817,837,19314,7,8062,31,98.29,1.20%
15-11-2021,782,1604975,1577609,792,19319,5,8047,-15,98.29,1.20%
16-11-2021,819,1605794,1578434,825,19333,14,8027,-20,98.3,1.20%
19-11-2021,877,1608393,1580922,833,19364,9,8107,35,98.29,1.20%
18-11-2021,860,1607516,1580089,825,19355,14,8072,21,98.29,1.20%
17-11-2021,862,1606656,1579264,830,19341,8,8051,24,98.3,1.20%
20-11-2021,725,1609118,1581697,775,19376,12,8045,-62,98.3,1.20%
21-11-2021,727,1609845,1582442,745,19383,7,8020,-25,98.3,1.20%
22-11-2021,615,1610460,1583118,676,19397,14,7945,-75,98.3,1.20%
23-11-2021,720,1611180,1583859,741,19407,10,7914,-31,98.3,1.20%
24-11-2021,803,1611983,1584670,811,19419,12,7894,-20,98.31,1.20%
25-11-2021,758,1612741,1585444,774,19430,11,7867,-27,98.31,1.20%
26-11-2021,710,1613451,1586165,721,19439,9,7847,-20,98.31,1.20%
27-11-2021,701,1614152,1586882,717,19450,11,7820,-27,98.31,1.20%
28-11-2021,715,1614867,1587601,719,19462,12,7804,-16,98.31,1.21%
29-11-2021,511,1615378,1588172,571,19473,11,7733,-71,98.32,1.21%
30-11-2021,705,1616083,1588866,694,19486,13,7731,-2,98.32,1.21%
01-12-2021,668,1616751,1589541,675,19498,12,7712,-19,98.32,1.21%
02-12-2021,657,1617408,1590208,667,19510,12,7690,-22,98.32,1.21%
03-12-2021,608,1618016,1590823,615,19523,13,7670,-20,98.32,1.21%
04-12-2021,621,1618637,1591447,624,19534,11,7656,-14,98.32,1.21%
05-12-2021,620,1619257,1592074,627,19544,10,7639,-17,98.32,1.21%
06-12-2021,465,1619722,1592579,505,19553,9,7590,-49,98.32,1.21%
07-12-2021,507,1620229,1593091,512,19562,9,7576,-14,98.33,1.21%
08-12-2021,574,1620803,1593659,568,19568,6,,,98.33,1.21%
09-12-2021,567,1621370,1594230,571,19575,7,7565,-11,98.33,1.21%
10-12-2021,628,1621998,1594840,610,19584,9,7574,9,98.33,1.21%
11-12-2021,610,1622608,1595452,612,19594,10,7562,-12,98.33,1.21%
13-12-2021,418,1623609,1596482,439,19610,10,7517,-31,98.33,1.21%
12-12-2021,583,1623191,1596043,591,19600,6,7548,-14,98.33,1.21%
14-12-2021,552,1624161,1597036,554,19620,10,7505,-12,98.33,1.21%
15-12-2021,554,1624715,1597592,556,19633,13,7490,-15,98.33,1.21%
16-12-2021,660,1625375,1598224,632,19645,12,7506,16,98.33,1.21%
17-12-2021,580,1625955,1598790,566,19652,7,7513,7,98.33,1.21%
20-12-2021,414,1627490,1600340,422,19676,7,7474,-15,98.33,1.21%
19-12-2021,565,1627076,1599918,568,19669,9,7489,-12,98.33,1.21%
18-12-2021,556,1626511,1599350,560,19660,8,7501,-12,98.33,1.21%
21-12-2021,440,1627930,1600791,451,19688,12,7451,-23,98.33,1.21%
22-12-2021,534,1628464,1601326,535,19696,8,7442,-9,98.33,1.21%
23-12-2021,516,1628980,1601845,519,19702,6,7433,-9,98.33,1.21%
24-12-2021,550,1629530,1602377,532,19707,5,7446,13,98.33,1.21%
25-12-2021,552,1630082,1602913,536,19711,4,7458,12,98.33,1.21%
26-12-2021,544,1630626,1603460,547,19716,5,7450,-8,98.33,1.21%
27-12-2021,439,1631065,1603906,446,19726,10,7433,-17,98.33,1.21%
28-12-2021,752,1631817,1604627,721,19733,7,7457,24,98.33,1.21%
29-12-2021,1089,1632906,1605434,807,19745,12,7727,270,98.32,1.21%
30-12-2021,2128,1635034,1606501,1067,19757,12,8776,1049,98.25,1.21%
31-12-2021,3451,1638485,1608011,1510,19764,7,10710,1934,98.14,1.21%
01-01-2022,4512,1642997,1609924,1913,19773,9,13300,2590,97.99,1.20%
02-01-2022,6153,1649150,1612331,2407,19781,8,17038,3738,97.77,1.20%
03-01-2022,6078,1655228,1615248,2917,19794,13,20186,3148,97.58,1.20%
04-01-2022,9073,1664301,1619016,3768,19810,16,25475,5289,97.28,1.19%
05-01-2022,14022,1678323,1625454,6438,19827,17,33042,7567,96.85,1.18%
