,date,hospital_dedicated,hospital_dedicated_govt,hospital_dedicated_pvt,covid19_beds,covid19_bed_occupancy,icu_hdu_beds,n_safe_homes,safe_home_beds,n_ventilators,total_patients_home_isolation,current_patients_home_isolation,released_patients_home_isolation,current_patients_hospital,current_patients_safe_homes,day,month,year,Index,people_per_hospital,covid_beds_for_population,icu_hdu_beds_for_population,ventilators_for_population,people_per_hospital_per_million,covid_beds_per_million,icu_hdu_beds_per_million,ventilators_per_million
452,17-06-2020,77.0,24,53.0,10105.0,22.25,948,,,395.0,,,,,,Wednesday,June2020,2020,20200617,1168831.168831169,8906.481939633844,94936.70886075949,227848.1012658228,12987.012987012988,98.96091044037605,1054.8523206751056,2531.6455696202534
451,18-06-2020,77.0,24,53.0,10313.0,20.25,948,,,395.0,,,,,,Thursday,June2020,2020,20200618,1168831.168831169,8726.849607291768,94936.70886075949,227848.1012658228,12987.012987012988,96.9649956365752,1054.8523206751056,2531.6455696202534
450,19-06-2020,77.0,24,53.0,10327.0,20.45,948,106.0,6908.0,395.0,153826.0,142869.0,153826.0,,241.0,Friday,June2020,2020,20200619,1168831.168831169,8715.018882540911,94936.70886075949,227848.1012658228,12987.012987012988,96.83354313934346,1054.8523206751056,2531.6455696202534
449,20-06-2020,77.0,24,53.0,10340.0,20.84,948,106.0,6908.0,395.0,160726.0,136582.0,160726.0,,231.0,Saturday,June2020,2020,20200620,1168831.168831169,8704.061895551256,94936.70886075949,227848.1012658228,12987.012987012988,96.71179883945841,1054.8523206751056,2531.6455696202534
448,21-06-2020,77.0,24,53.0,10340.0,20.54,948,106.0,6908.0,395.0,160728.0,137838.0,160728.0,,166.0,Sunday,June2020,2020,20200621,1168831.168831169,8704.061895551256,94936.70886075949,227848.1012658228,12987.012987012988,96.71179883945841,1054.8523206751056,2531.6455696202534
447,22-06-2020,77.0,24,53.0,10340.0,20.95,948,106.0,6908.0,395.0,166297.0,133391.0,166297.0,,198.0,Monday,June2020,2020,20200622,1168831.168831169,8704.061895551256,94936.70886075949,227848.1012658228,12987.012987012988,96.71179883945841,1054.8523206751056,2531.6455696202534
446,23-06-2020,77.0,24,53.0,10341.0,20.83,948,106.0,6908.0,395.0,178394.0,121294.0,178394.0,,187.0,Tuesday,June2020,2020,20200623,1168831.168831169,8703.220191470844,94936.70886075949,227848.1012658228,12987.012987012988,96.70244657189826,1054.8523206751056,2531.6455696202534
445,24-06-2020,78.0,25,53.0,10418.0,20.6,948,106.0,6908.0,395.0,190385.0,110803.0,190385.0,,510.0,Wednesday,June2020,2020,20200624,1153846.1538461538,8638.894221539644,94936.70886075949,227848.1012658228,12820.51282051282,95.98771357266271,1054.8523206751056,2531.6455696202534
444,25-06-2020,78.0,25,53.0,10425.0,21.03,948,106.0,6908.0,395.0,203937.0,98751.0,203937.0,,495.0,Thursday,June2020,2020,20200625,1153846.1538461538,8633.093525179856,94936.70886075949,227848.1012658228,12820.51282051282,95.92326139088729,1054.8523206751056,2531.6455696202534
443,26-06-2020,78.0,25,53.0,10458.0,22.64,948,106.0,6908.0,395.0,214596.0,90771.0,214596.0,,463.0,Friday,June2020,2020,20200626,1153846.1538461538,8605.851979345955,94936.70886075949,227848.1012658228,12820.51282051282,95.62057754828838,1054.8523206751056,2531.6455696202534
442,27-06-2020,78.0,25,53.0,10472.0,21.83,948,106.0,6908.0,395.0,223192.0,84291.0,223192.0,,467.0,Saturday,June2020,2020,20200627,1153846.1538461538,8594.346829640946,94936.70886075949,227848.1012658228,12820.51282051282,95.49274255156608,1054.8523206751056,2531.6455696202534
441,28-06-2020,78.0,25,53.0,10474.0,22.05,948,106.0,6908.0,395.0,231293.0,77217.0,231293.0,,455.0,Sunday,June2020,2020,20200628,1153846.1538461538,8592.7057475654,94936.70886075949,227848.1012658228,12820.51282051282,95.47450830628223,1054.8523206751056,2531.6455696202534
440,29-06-2020,78.0,25,53.0,10474.0,21.91,948,106.0,6908.0,395.0,239192.0,71466.0,239192.0,,421.0,Monday,June2020,2020,20200629,1153846.1538461538,8592.7057475654,94936.70886075949,227848.1012658228,12820.51282051282,95.47450830628223,1054.8523206751056,2531.6455696202534
439,30-06-2020,78.0,25,53.0,10479.0,22.44,948,106.0,6908.0,395.0,247613.0,65990.0,247613.0,,397.0,Tuesday,June2020,2020,20200630,1153846.1538461538,8588.60578299456,94936.70886075949,227848.1012658228,12820.51282051282,95.42895314438401,1054.8523206751056,2531.6455696202534
438,01-07-2020,78.0,25,53.0,10479.0,23.11,948,106.0,6908.0,395.0,256374.0,59658.0,256374.0,,377.0,Wednesday,July2020,2020,20200701,1153846.1538461538,8588.60578299456,94936.70886075949,227848.1012658228,12820.51282051282,95.42895314438401,1054.8523206751056,2531.6455696202534
437,02-07-2020,78.0,25,53.0,10489.0,22.76,948,106.0,6908.0,395.0,263972.0,53903.0,263972.0,,345.0,Thursday,July2020,2020,20200702,1153846.1538461538,8580.417580322242,94936.70886075949,227848.1012658228,12820.51282051282,95.3379731146916,1054.8523206751056,2531.6455696202534
436,03-07-2020,79.0,26,53.0,10594.0,23.25,948,106.0,6908.0,395.0,269624.0,51770.0,269624.0,,347.0,Friday,July2020,2020,20200703,1139240.5063291139,8495.374740419105,94936.70886075949,227848.1012658228,12658.227848101265,94.3930526713234,1054.8523206751056,2531.6455696202534
435,04-07-2020,79.0,26,53.0,10600.0,23.82,948,106.0,6908.0,395.0,275630.0,49273.0,275630.0,,338.0,Saturday,July2020,2020,20200704,1139240.5063291139,8490.566037735849,94936.70886075949,227848.1012658228,12658.227848101265,94.33962264150944,1054.8523206751056,2531.6455696202534
434,05-07-2020,79.0,26,53.0,10600.0,24.36,948,106.0,6908.0,395.0,287230.0,41349.0,287230.0,,317.0,Sunday,July2020,2020,20200705,1139240.5063291139,8490.566037735849,94936.70886075949,227848.1012658228,12658.227848101265,94.33962264150944,1054.8523206751056,2531.6455696202534
433,06-07-2020,79.0,26,53.0,10607.0,25.07,948,106.0,6908.0,395.0,294290.0,41520.0,294290.0,,309.0,Monday,July2020,2020,20200706,1139240.5063291139,8484.962760441218,94936.70886075949,227848.1012658228,12658.227848101265,94.27736400490242,1054.8523206751056,2531.6455696202534
432,07-07-2020,79.0,26,53.0,10607.0,26.56,948,106.0,6908.0,395.0,298810.0,38614.0,298810.0,,311.0,Tuesday,July2020,2020,20200707,1139240.5063291139,8484.962760441218,94936.70886075949,227848.1012658228,12658.227848101265,94.27736400490242,1054.8523206751056,2531.6455696202534
