date,district,deaths_reported,death_through_appeal,pending_deaths,death_cases_approved
10-11-2021,Thiruvananthapuram,2,90,0,92
10-11-2021,Kollam,3,0,0,3
10-11-2021,Pathanamthitta,0,0,0,0
10-11-2021,Alappuzha,4,9,0,13
10-11-2021,Kottayam,15,14,0,29
10-11-2021,Idukki,0,9,0,9
10-11-2021,Ernakulam,6,63,0,69
10-11-2021,Thrissur,6,0,0,6
10-11-2021,Palakkad,2,0,0,2
10-11-2021,Malappuram,7,21,0,28
10-11-2021,Kozhikode,1,0,0,1
10-11-2021,Wayanad,0,0,0,0
10-11-2021,Kannur,0,0,0,0
10-11-2021,Kasaragod,2,5,0,7
10-11-2021,total,48,211,0,259
09-11-2021,Thiruvananthapuram,2,0,0,2
09-11-2021,Kollam,17,49,0,66
09-11-2021,Pathanamthitta,0,40,0,40
09-11-2021,Alappuzha,0,16,0,16
09-11-2021,Kottayam,0,28,0,28
09-11-2021,Idukki,1,0,0,1
09-11-2021,Ernakulam,3,124,0,127
09-11-2021,Thrissur,6,0,0,6
09-11-2021,Palakkad,3,7,0,10
09-11-2021,Malappuram,3,62,0,65
09-11-2021,Kozhikode,4,0,0,4
09-11-2021,Wayanad,4,0,0,4
09-11-2021,Kannur,0,0,0,0
09-11-2021,Kasaragod,4,11,0,15
09-11-2021,total,47,337,0,384
08-11-2021,Thiruvananthapuram,5,0,0,5
08-11-2021,Kollam,1,0,0,1
08-11-2021,Pathanamthitta,7,0,0,7
08-11-2021,Alappuzha,5,7,0,12
08-11-2021,Kottayam,12,58,0,70
08-11-2021,Idukki,0,0,0,0
08-11-2021,Ernakulam,2,44,0,46
08-11-2021,Thrissur,7,0,0,7
08-11-2021,Palakkad,0,5,0,5
08-11-2021,Malappuram,2,7,0,9
08-11-2021,Kozhikode,7,0,0,7
08-11-2021,Wayanad,3,0,0,3
08-11-2021,Kannur,28,61,0,89
08-11-2021,Kasaragod,1,0,0,1
08-11-2021,total,80,182,0,262
01-11-2021,Thiruvananthapuram,2,0,0,2
01-11-2021,Kollam,5,0,0,5
01-11-2021,Pathanamthitta,5,0,0,5
01-11-2021,Alappuzha,32,0,0,32
01-11-2021,Kottayam,4,0,0,4
01-11-2021,Idukki,4,0,0,4
01-11-2021,Ernakulam,2,34,5,41
01-11-2021,Thrissur,17,0,10,27
01-11-2021,Palakkad,2,0,4,6
01-11-2021,Malappuram,0,0,4,4
01-11-2021,Kozhikode,2,1,147,150
01-11-2021,Wayanad,3,11,2,16
01-11-2021,Kannur,0,12,60,72
01-11-2021,Kasaragod,0,0,0,0
01-11-2021,total,78,58,232,368
10-12-2021,Thiruvananthapuram,5,8,0,13
10-12-2021,Kollam,1,94,0,95
10-12-2021,Pathanamthitta,0,0,0,0
10-12-2021,Alappuzha,8,14,0,22
10-12-2021,Kottayam,2,10,0,12
10-12-2021,Idukki,0,0,0,0
10-12-2021,Ernakulam,7,14,0,21
10-12-2021,Thrissur,4,83,0,87
10-12-2021,Palakkad,2,24,0,26
10-12-2021,Malappuram,0,20,0,20
10-12-2021,Kozhikode,2,34,0,36
10-12-2021,Wayanad,0,0,0,0
10-12-2021,Kannur,0,4,0,4
10-12-2021,Kasaragod,0,4,0,4
10-12-2021,total,31,309,0,340
13-12-2021,Thiruvananthapuram,7,0,0,7
13-12-2021,Kollam,4,0,0,4
13-12-2021,Pathanamthitta,1,0,0,1
13-12-2021,Alappuzha,0,6,0,6
13-12-2021,Kottayam,1,89,0,90
13-12-2021,Idukki,0,5,0,5
13-12-2021,Ernakulam,5,0,0,5
13-12-2021,Thrissur,9,0,0,9
13-12-2021,Palakkad,3,6,0,9
13-12-2021,Malappuram,0,1,0,1
13-12-2021,Kozhikode,0,0,0,0
13-12-2021,Wayanad,0,0,0,0
13-12-2021,Kannur,6,58,0,64
13-12-2021,Kasaragod,2,0,0,2
13-12-2021,total,38,165,0,203
14-12-2021,Thiruvananthapuram,4,29,0,33
14-12-2021,Kollam,0,0,0,0
14-12-2021,Pathanamthitta,3,17,0,20
14-12-2021,Alappuzha,0,5,0,5
14-12-2021,Kottayam,0,3,0,3
14-12-2021,Idukki,7,16,0,23
14-12-2021,Ernakulam,0,0,0,0
14-12-2021,Thrissur,3,0,0,3
14-12-2021,Palakkad,3,15,0,18
14-12-2021,Malappuram,0,0,0,0
14-12-2021,Kozhikode,3,0,0,3
14-12-2021,Wayanad,3,0,0,3
14-12-2021,Kannur,2,49,0,51
14-12-2021,Kasaragod,0,12,0,12
14-12-2021,total,28,146,0,174
20-12-2021,Thiruvananthapuram,0,25,0,25
20-12-2021,Kollam,0,0,0,0
20-12-2021,Pathanamthitta,3,0,0,3
20-12-2021,Alappuzha,1,96,0,97
20-12-2021,Kottayam,1,61,0,62
20-12-2021,Idukki,6,0,0,6
20-12-2021,Ernakulam,0,32,0,32
20-12-2021,Thrissur,1,0,0,1
20-12-2021,Palakkad,1,0,0,1
20-12-2021,Malappuram,0,83,0,83
20-12-2021,Kozhikode,0,54,0,54
20-12-2021,Wayanad,1,0,0,1
20-12-2021,Kannur,0,54,0,54
20-12-2021,Kasaragod,0,0,0,0
20-12-2021,total,14,405,0,419
19-12-2021,Thiruvananthapuram,2,0,0,2
19-12-2021,Kollam,3,0,0,3
19-12-2021,Pathanamthitta,0,17,0,17
19-12-2021,Alappuzha,1,14,0,15
19-12-2021,Kottayam,2,0,0,2
19-12-2021,Idukki,0,0,0,0
19-12-2021,Ernakulam,0,10,0,10
19-12-2021,Thrissur,1,0,0,1
19-12-2021,Palakkad,1,0,0,1
19-12-2021,Malappuram,0,0,0,0
19-12-2021,Kozhikode,0,18,0,18
19-12-2021,Wayanad,0,0,0,0
19-12-2021,Kannur,1,26,0,27
19-12-2021,Kasaragod,0,0,0,0
19-12-2021,total,11,85,0,96
18-12-2021,Thiruvananthapuram,3,92,0,95
18-12-2021,Kollam,5,0,0,5
18-12-2021,Pathanamthitta,0,0,0,0
18-12-2021,Alappuzha,1,23,0,24
18-12-2021,Kottayam,2,0,0,2
18-12-2021,Idukki,0,0,0,0
18-12-2021,Ernakulam,7,0,0,7
18-12-2021,Thrissur,3,42,0,45
18-12-2021,Palakkad,4,0,0,4
18-12-2021,Malappuram,0,0,0,0
18-12-2021,Kozhikode,3,0,0,3
18-12-2021,Wayanad,0,18,0,18
18-12-2021,Kannur,12,0,0,12
18-12-2021,Kasaragod,3,0,0,3
18-12-2021,total,43,175,0,218
17-12-2021,Thiruvananthapuram,1,17,0,18
17-12-2021,Kollam,0,0,0,0
17-12-2021,Pathanamthitta,1,0,0,1
17-12-2021,Alappuzha,2,4,0,6
17-12-2021,Kottayam,2,34,0,36
17-12-2021,Idukki,5,0,0,5
17-12-2021,Ernakulam,4,0,0,4
17-12-2021,Thrissur,4,86,0,90
17-12-2021,Palakkad,0,0,0,0
17-12-2021,Malappuram,0,70,0,70
17-12-2021,Kozhikode,0,0,0,0
17-12-2021,Wayanad,2,2,0,4
17-12-2021,Kannur,1,8,0,9
17-12-2021,Kasaragod,0,0,0,0
17-12-2021,total,22,221,0,243
16-12-2021,Thiruvananthapuram,4,3,0,7
16-12-2021,Kollam,2,0,0,2
16-12-2021,Pathanamthitta,0,0,0,0
16-12-2021,Alappuzha,0,170,0,170
16-12-2021,Kottayam,1,0,0,1
16-12-2021,Idukki,0,19,0,19
16-12-2021,Ernakulam,15,0,0,15
16-12-2021,Thrissur,4,0,0,4
16-12-2021,Palakkad,1,5,0,6
16-12-2021,Malappuram,1,72,0,73
16-12-2021,Kozhikode,3,0,0,3
16-12-2021,Wayanad,0,0,0,0
16-12-2021,Kannur,5,15,0,20
16-12-2021,Kasaragod,0,0,0,0
16-12-2021,total,36,284,0,320
15-12-2021,Thiruvananthapuram,57,17,0,74
15-12-2021,Kollam,13,0,0,13
15-12-2021,Pathanamthitta,0,7,0,7
15-12-2021,Alappuzha,6,14,0,20
15-12-2021,Kottayam,1,19,0,20
15-12-2021,Idukki,10,0,0,10
15-12-2021,Ernakulam,13,2,0,15
15-12-2021,Thrissur,4,0,0,4
15-12-2021,Palakkad,0,17,0,17
15-12-2021,Malappuram,1,29,0,30
15-12-2021,Kozhikode,2,19,0,21
15-12-2021,Wayanad,8,33,0,41
15-12-2021,Kannur,9,0,0,9
15-12-2021,Kasaragod,1,0,0,1
15-12-2021,total,125,157,0,282
12-12-2021,Thiruvananthapuram,3,5,0,8
12-12-2021,Kollam,3,0,0,3
12-12-2021,Pathanamthitta,0,0,0,0
12-12-2021,Alappuzha,0,0,0,0
12-12-2021,Kottayam,6,65,0,71
12-12-2021,Idukki,0,0,0,0
12-12-2021,Ernakulam,0,39,0,39
12-12-2021,Thrissur,0,0,0,0
12-12-2021,Palakkad,1,0,0,1
12-12-2021,Malappuram,21,0,0,21
12-12-2021,Kozhikode,0,0,0,0
12-12-2021,Wayanad,0,0,0,0
12-12-2021,Kannur,0,0,0,0
12-12-2021,Kasaragod,0,0,0,0
12-12-2021,total,34,109,0,143
11-12-2021,Thiruvananthapuram,4,21,0,25
11-12-2021,Kollam,5,0,0,5
11-12-2021,Pathanamthitta,1,0,0,1
11-12-2021,Alappuzha,5,0,0,5
11-12-2021,Kottayam,3,34,0,37
11-12-2021,Idukki,0,0,0,0
11-12-2021,Ernakulam,21,44,0,65
11-12-2021,Thrissur,0,85,0,85
11-12-2021,Palakkad,1,1,0,2
11-12-2021,Malappuram,8,0,0,8
11-12-2021,Kozhikode,2,0,0,2
11-12-2021,Wayanad,0,10,0,10
11-12-2021,Kannur,0,0,0,0
11-12-2021,Kasaragod,0,0,0,0
11-12-2021,total,50,195,0,245
21-12-2021,Thiruvananthapuram,6,34,0,40
21-12-2021,Kollam,9,0,0,9
21-12-2021,Pathanamthitta,1,0,0,1
21-12-2021,Alappuzha,1,25,0,26
21-12-2021,Kottayam,1,18,0,19
21-12-2021,Idukki,1,36,0,37
21-12-2021,Ernakulam,0,28,0,28
21-12-2021,Thrissur,0,0,0,0
21-12-2021,Palakkad,2,2,0,4
21-12-2021,Malappuram,3,45,0,48
21-12-2021,Kozhikode,3,0,0,3
21-12-2021,Wayanad,0,5,0,5
21-12-2021,Kannur,6,7,0,13
21-12-2021,Kasaragod,0,0,0,0
21-12-2021,total,33,200,0,233
22-12-2021,Thiruvananthapuram,0,32,0,32
22-12-2021,Kollam,1,167,0,168
22-12-2021,Pathanamthitta,5,0,0,5
22-12-2021,Alappuzha,0,6,0,6
22-12-2021,Kottayam,3,33,0,36
22-12-2021,Idukki,0,16,0,16
22-12-2021,Ernakulam,7,81,0,88
22-12-2021,Thrissur,4,0,0,4
22-12-2021,Palakkad,2,10,0,12
22-12-2021,Malappuram,0,1,0,1
22-12-2021,Kozhikode,2,0,0,2
22-12-2021,Wayanad,0,0,0,0
22-12-2021,Kannur,12,1,0,13
22-12-2021,Kasaragod,0,0,0,0
22-12-2021,total,36,347,0,383
23-12-2021,Thiruvananthapuram,5,4,0,9
23-12-2021,Kollam,2,0,0,2
23-12-2021,Pathanamthitta,1,0,0,1
23-12-2021,Alappuzha,0,61,0,61
23-12-2021,Kottayam,10,0,0,10
23-12-2021,Idukki,6,0,0,6
23-12-2021,Ernakulam,8,0,0,8
23-12-2021,Thrissur,2,116,0,118
23-12-2021,Palakkad,2,34,0,36
23-12-2021,Malappuram,0,47,0,47
23-12-2021,Kozhikode,0,0,0,0
23-12-2021,Wayanad,4,0,0,4
23-12-2021,Kannur,14,7,0,21
23-12-2021,Kasaragod,0,0,0,0
23-12-2021,total,54,269,0,323
24-12-2021,Thiruvananthapuram,4,0,0,4
24-12-2021,Kollam,0,0,0,0
24-12-2021,Pathanamthitta,1,22,0,23
24-12-2021,Alappuzha,0,32,0,32
24-12-2021,Kottayam,2,0,0,2
24-12-2021,Idukki,0,0,0,0
24-12-2021,Ernakulam,11,0,0,11
24-12-2021,Thrissur,3,110,0,113
24-12-2021,Palakkad,0,47,0,47
24-12-2021,Malappuram,3,66,0,69
24-12-2021,Kozhikode,2,0,0,2
24-12-2021,Wayanad,0,0,0,0
24-12-2021,Kannur,5,34,0,39
24-12-2021,Kasaragod,0,0,0,0
24-12-2021,total,31,311,0,342
26-12-2021,Thiruvananthapuram,0,0,0,0
26-12-2021,Kollam,0,0,0,0
26-12-2021,Pathanamthitta,0,0,0,0
26-12-2021,Alappuzha,6,166,0,172
26-12-2021,Kottayam,3,0,0,3
26-12-2021,Idukki,0,0,0,0
26-12-2021,Ernakulam,3,34,0,37
26-12-2021,Thrissur,0,0,0,0
26-12-2021,Palakkad,0,37,0,37
26-12-2021,Malappuram,0,15,0,15
26-12-2021,Kozhikode,0,0,0,0
26-12-2021,Wayanad,0,0,0,0
26-12-2021,Kannur,4,0,0,4
26-12-2021,Kasaragod,0,0,0,0
26-12-2021,total,16,252,0,268
25-12-2021,Thiruvananthapuram,2,4,0,6
25-12-2021,Kollam,5,0,0,5
25-12-2021,Pathanamthitta,0,21,0,21
25-12-2021,Alappuzha,1,69,0,70
25-12-2021,Kottayam,0,0,0,0
25-12-2021,Idukki,0,0,0,0
25-12-2021,Ernakulam,2,3,0,5
25-12-2021,Thrissur,1,0,0,1
25-12-2021,Palakkad,0,4,0,4
25-12-2021,Malappuram,0,3,0,3
25-12-2021,Kozhikode,0,0,0,0
25-12-2021,Wayanad,0,0,0,0
25-12-2021,Kannur,0,0,0,0
25-12-2021,Kasaragod,0,0,0,0
25-12-2021,total,11,104,0,115
27-12-2021,Thiruvananthapuram,5,0,0,5
27-12-2021,Kollam,0,0,0,0
27-12-2021,Pathanamthitta,8,0,0,8
27-12-2021,Alappuzha,0,5,0,5
27-12-2021,Kottayam,0,106,0,106
27-12-2021,Idukki,0,0,0,0
27-12-2021,Ernakulam,2,58,0,60
27-12-2021,Thrissur,0,0,0,0
27-12-2021,Palakkad,2,22,0,24
27-12-2021,Malappuram,0,0,0,0
27-12-2021,Kozhikode,2,0,0,2
27-12-2021,Wayanad,2,10,0,12
27-12-2021,Kannur,2,12,0,14
27-12-2021,Kasaragod,0,0,0,0
27-12-2021,total,23,213,0,236
28-12-2021,Thiruvananthapuram,7,0,0,7
28-12-2021,Kollam,5,0,0,5
28-12-2021,Pathanamthitta,0,0,0,0
28-12-2021,Alappuzha,0,73,0,73
28-12-2021,Kottayam,3,4,0,7
28-12-2021,Idukki,1,0,0,1
28-12-2021,Ernakulam,5,42,0,47
28-12-2021,Thrissur,0,0,0,0
28-12-2021,Palakkad,0,26,0,26
28-12-2021,Malappuram,0,52,0,52
28-12-2021,Kozhikode,3,0,0,3
28-12-2021,Wayanad,0,0,0,0
28-12-2021,Kannur,6,9,0,15
28-12-2021,Kasaragod,8,0,0,8
28-12-2021,total,38,206,0,244
29-12-2021,Thiruvananthapuram,2,0,0,2
29-12-2021,Kollam,3,0,0,3
29-12-2021,Pathanamthitta,1,0,0,1
29-12-2021,Alappuzha,0,1,0,1
29-12-2021,Kottayam,2,46,0,48
29-12-2021,Idukki,0,38,0,38
29-12-2021,Ernakulam,1,66,0,67
29-12-2021,Thrissur,1,0,0,1
29-12-2021,Palakkad,1,11,0,12
29-12-2021,Malappuram,0,5,0,5
29-12-2021,Kozhikode,1,0,0,1
29-12-2021,Wayanad,0,0,0,0
29-12-2021,Kannur,0,18,0,18
29-12-2021,Kasaragod,0,14,0,14
29-12-2021,total,12,199,0,211
30-12-2021,Thiruvananthapuram,5,6,0,11
30-12-2021,Kollam,2,0,0,2
30-12-2021,Pathanamthitta,0,29,0,29
30-12-2021,Alappuzha,0,4,0,4
30-12-2021,Kottayam,2,0,0,2
30-12-2021,Idukki,0,0,0,0
30-12-2021,Ernakulam,0,0,0,0
30-12-2021,Thrissur,2,0,0,2
30-12-2021,Palakkad,1,14,0,15
30-12-2021,Malappuram,0,75,0,75
30-12-2021,Kozhikode,1,0,0,1
30-12-2021,Wayanad,0,0,0,0
30-12-2021,Kannur,2,9,0,11
30-12-2021,Kasaragod,0,12,0,12
30-12-2021,total,15,149,0,164
31-12-2021,Thiruvananthapuram,3,12,0,15
31-12-2021,Kollam,0,179,0,179
31-12-2021,Pathanamthitta,1,0,0,1
31-12-2021,Alappuzha,1,9,0,10
31-12-2021,Kottayam,2,0,0,2
31-12-2021,Idukki,0,0,0,0
31-12-2021,Ernakulam,0,0,0,0
31-12-2021,Thrissur,0,29,0,29
31-12-2021,Palakkad,0,66,0,66
31-12-2021,Malappuram,0,15,0,15
31-12-2021,Kozhikode,0,2,0,2
31-12-2021,Wayanad,2,0,0,2
31-12-2021,Kannur,1,18,0,19
31-12-2021,Kasaragod,1,12,0,13
31-12-2021,total,11,342,0,353
01-01-2022,Thiruvananthapuram,2,7,0,9
01-01-2022,Kollam,3,10,0,13
01-01-2022,Pathanamthitta,2,0,0,2
01-01-2022,Alappuzha,0,0,0,0
01-01-2022,Kottayam,0,4,0,4
01-01-2022,Idukki,3,0,0,3
01-01-2022,Ernakulam,6,0,0,6
01-01-2022,Thrissur,3,102,0,105
01-01-2022,Palakkad,1,8,0,9
01-01-2022,Malappuram,0,1,0,1
01-01-2022,Kozhikode,1,71,0,72
01-01-2022,Wayanad,0,0,0,0
01-01-2022,Kannur,0,0,0,0
01-01-2022,Kasaragod,1,16,0,17
01-01-2022,total,22,219,0,241
02-01-2022,Thiruvananthapuram,0,1,0,1
02-01-2022,Kollam,1,0,0,1
02-01-2022,Pathanamthitta,O,0,0,0
02-01-2022,Alappuzha,0,0,0,0
02-01-2022,Kottayam,3,13,0,16
02-01-2022,Idukki,3,0,0,3
02-01-2022,Ernakulam,3,0,0,3
02-01-2022,Thrissur,0,0,0,0
02-01-2022,Palakkad,1,17,0,18
02-01-2022,Malappuram,0,0,0,0
02-01-2022,Kozhikode,0,35,0,35
02-01-2022,Wayanad,0,0,0,0
02-01-2022,Kannur,1,0,0,1
02-01-2022,Kasaragod,0,0,0,0
02-01-2022,total,12,66,0,78
03-01-2022,Thiruvananthapuram,4,5,0,9
03-01-2022,Kollam,6,0,0,6
03-01-2022,Pathanamthitta,0,0,0,0
03-01-2022,Alappuzha,0,1,0,1
03-01-2022,Kottayam,0,14,0,14
03-01-2022,Idukki,0,0,0,0
03-01-2022,Ernakulam,2,0,0,2
03-01-2022,Thrissur,1,0,0,1
03-01-2022,Palakkad,1,0,0,1
03-01-2022,Malappuram,0,17,0,17
03-01-2022,Kozhikode,8,0,0,8
03-01-2022,Wayanad,1,0,0,1
03-01-2022,Kannur,7,0,0,7
03-01-2022,Kasaragod,0,4,0,4
03-01-2022,total,30,41,0,71
04-01-2022,Thiruvananthapuram,5,37,0,42
04-01-2022,Kollam,2,0,0,2
04-01-2022,Pathanamthitta,5,0,0,0
04-01-2022,Alappuzha,0,193,0,193
04-01-2022,Kottayam,2,15,0,17
04-01-2022,Idukki,0,0,0,0
04-01-2022,Ernakulam,0,8,0,8
04-01-2022,Thrissur,1,0,0,1
04-01-2022,Palakkad,0,13,0,13
04-01-2022,Malappuram,10,51,0,61
04-01-2022,Kozhikode,4,0,0,4
04-01-2022,Wayanad,0,25,0,25
04-01-2022,Kannur,1,77,0,78
04-01-2022,Kasaragod,0,4,0,4
04-01-2022,total,30,423,0,453
05-01-2022,Thiruvananthapuram,2,85,0,87
05-01-2022,Kollam,2,0,0,2
05-01-2022,Pathanamthitta,0,0,0,0
05-01-2022,Alappuzha,0,35,0,35
05-01-2022,Kottayam,0,8,0,8
05-01-2022,Idukki,0,0,0,0
05-01-2022,Ernakulam,4,77,0,81
05-01-2022,Thrissur,0,0,0,0
05-01-2022,Palakkad,4,1,0,5
05-01-2022,Malappuram,0,0,0,0
05-01-2022,Kozhikode,11,0,0,11
05-01-2022,Wayanad,0,0,0,0
05-01-2022,Kannur,6,5,0,11
05-01-2022,Kasaragod,0,18,0,18
05-01-2022,total,29,229,0,258
