"date	total_vax_today	first_dose_today	second_dose_today	cumulative_vax	cumulative_vax_first_dose	cumulative_vax_sec_dose	cvc_count	aefi_cases	vax_wastage"
"2021-06-20	278994	210061	68933	18854049	14613542	4240507			"
"2021-06-19	206106	165115	40991	18575055	14403481	4171574			"
"2021-06-18	175843	149017	26826	18368949	14238366	4130583			"
"2021-06-17	119920	108640	11280	18193106	14089349	4103757			"
"2021-06-16	245411	206164	39247	18073186	13980709	4092477			"
"2021-06-15	199133	150123	49010	17827775	13774545	4053230			"
"2021-06-14	53910	50805	3105	17628642	13624422	4004220			"
"2021-06-13	214034	192863	21171	17574732	13573617	4001115			"
"2021-06-12	236621	215284	21337	17360698	13380754	3979944			"
"2021-06-11	192983	183690	9293	17124077	13165470	3958607			"
"2021-06-10	221185	209439	11746	16931094	12981780	3949314			"
"2021-09-23	595596	395990	199606	53456771	38010731	15446040		4412	-7"
"2021-09-24	494390	321097	173293	53951161	38331828	15619333		4494	-7"
"2021-09-25			242068					4540	"
"2021-09-26			178406					4544	"
"2021-09-27			31399					4546	"
"2021-09-28			172382					4556	"
"2021-09-29			159038					4565	"
"2021-10-01	497696	357318	140378	57715061	41054544	16660517		4609	-7"
"2021-09-30	499018	381505	117513	57217365	40697226	16520139		4569	-7"
"2021-10-02			179917					4629	"
"2021-10-03	294226	218758	75468	58650132	41734230	16915902		4633	-7"
"2021-10-04	98376	73903	24473	58748508	41808133	16940375		4633	-7"
"2021-10-05	583520	422039	161481	59332028	42230172	17101856		4649	-7"
"2021-10-06	1038181	853918	184263	60370209	43084090	17286119		4668	-7"
"2021-10-07	387800	309980	77820	60758009	43394070	17363939		4673	-7"
"2021-10-08	1142256	952701	189555	61900265	44346771	17553494		4710	-7"
"2021-10-10			187724					4739	"
"2021-10-11	226673	192742	33931	64386556	46435336	17951220		4742	-7"
"2021-10-12	503485	415198	88287	64890041	46850534	18039507		4747	-7"
"2021-10-13			38846					4759	"
"2021-10-14			2373					4759	"
"2021-10-15			9848					4759	"
"2021-10-16			9980					4765	"
"2021-10-17			139885					4767	"
"2021-10-18	299947	263985	35962	66501315	48224914	18276401		4768	-7"
"2021-10-19	1047638	823720	223918	67548953	49048634	18500319		4780	-7"
"2021-10-20	658691	489172	169519	68207644	49537806	18669838		4788	-7"
"2021-10-21	592500	469503	122997	68800144	50007309	18792835		4795	-7"
"2021-10-22	1229565	837379	392186	70029709	50844688	19185021		4809	-7"
"2021-10-23	532550	399737	132813	70562259	51244425	19317834		4830	-7"
"2021-10-24	1238069	918450	319619	71800328	52162875	19637453		4867	-7"
"2021-10-25	245095	193522	51573	72045423	52356397	19689026		4869	-7"
"2021-10-27	908558	599321	309237	73970795	53615323	20355472		4904	-7"
"2021-10-26	1016814	659605	357209	73062237	53016002	20046235		4892	-7"
"2021-10-28	586542	342919	243623	74557337	53958242	20599095		4920	-7"
"2021-10-29	799384	515399	283985	75356721	54473641	20883080		4974	-7"
"2021-10-30	999610	685970	313640	76356331	55159611	21196720		5029	-7"
"2021-10-31	1069216	759951	309265	77425547	55919562	21505985		5049	-7"
"2021-11-01	292533	239319	53214	77718080	56158881	21559199		5079	-7"
"2021-11-02	1166993	848990	318003	78885073	57007871	21877202		5135	-7"
"2021-11-03	691453	468518	222935	79576526	57476389	22100137		5187	-7"
"2021-11-04	527263	348034	179229	80103789	57824423	22279366		5233	-7"
