date,cases_new,tests_today,tests_total,cases_total,discharged_total,deaths_total,active_cases,vax_today
2021-08-10,39,20715,6526861,342462,328610,7368,444,119596
2021-08-09,31,22847,6505490,342423,328569,7368,446,45428
2021-08-08,18,14566,6483473,342392,328522,7367,463,32955
2021-08-07,38,23125,6466339,342374,328476,7367,492,175244
2021-08-06,29,25004,6443888,342336,328419,7367,513,47331
2021-08-05,24,24396,6417333,342307,328371,7366,533,100281
2021-08-04,37,25480,6392957,342283,328304,7366,576,103511
2021-08-03,48,25062,6367822,342246,328262,7366,581,77089
2021-08-02,37,24278,6342329,342198,328224,7363,574,86476
2021-08-01,22,16009,6319514,342161,328153,7362,609,95874
2021-11-07,3,6993,7834916,343942,330249,7401,141,13453
2021-11-06,12,7304,7828008,343939,330241,7401,146,10261
2021-11-05,3,4606,7820867,343927,330232,7401,143,7046
2021-11-04,6,4103,7816336,343924,330227,7401,146,1828
2021-11-03,7,7625,7810467,343918,330218,7401,149,13827
2021-11-02,7,9301,7801393,343911,330209,7401,151,40156
2021-11-01,8,11158,7790773,343904,330201,7401,152,49403
2021-11-08,3,11232,7844321,343945,330255,7402,137,44041
2021-11-11,13,13188,7877567,343987,330280,7403,146,51839
2021-11-10,8,10396,7866273,343974,330273,7402,142,43500
2021-11-09,21,12159,7853747,343966,330263,7402,150,58660
2021-11-13,16,13020,7902901,344014,330294,7403,158,56148
2021-11-12,11,13487,7890273,343998,330289,7403,147,57319
2021-11-14,29,6757,7913010,344043,330304,7403,177,24999
2021-11-19,10,9434,7964101,344084,330337,7404,184,38332
2021-11-18,12,11079,7953445,344074,330332,7404,179,60270
2021-11-17,4,12414,7943091,344062,330326,7404,173,54032
2021-11-16,8,11747,7931817,344058,330321,7404,174,57436
2021-11-15,7,10840,7921174,344050,330315,7403,173,44198
2021-11-21,11,4359,7981776,344106,330351,7404,192,22714
2021-11-20,11,9923,7974018,344095,330345,7404,187,42520
2021-11-22,9,9519,7988612,344115,330376,7405,175,50916
2021-11-24,25,7583,8006816,344148,330401,7407,180,57978
2021-11-23,8,9277,7997734,344123,330391,7407,165,62917
2021-11-25,8,7548,8013752,344156,330432,7407,157,61243
2021-11-26,13,8388,8020743,344169,330458,7407,144,52334
2021-11-28,36,3407,8035255,344219,330476,7407,176,28357
2021-11-27,14,7953,8029883,344183,330466,7407,150,60159
2021-11-29,8,8291,8040633,344227,330527,7408,132,61803
2021-11-30,28,12436,8052276,344255,330546,7408,141,71406
2021-12-01,53,16629,8066417,344308,330557,7408,183,60179
2021-12-02,17,16524,8080274,344325,330566,7408,182,61699
2021-12-03,10,16459,8094335,344335,330571,7408,187,62696
2021-12-04,10,14745,8107513,344345,330592,7411,173,69246
2021-12-06,11,14809,8131158,344364,330608,7411,172,77271
2021-12-05,8,9008,8120927,344353,330599,7411,174,42248
2021-12-07,21,14129,8145072,344385,330611,7411,189,70981
2021-12-08,17,10831,8160764,344402,330624,7411,192,57429
2021-12-09,9,15590,8175962,344411,330650,7411,174,50536
2021-12-10,10,15730,8189346,344421,330677,7412,156,47172
2021-12-11,21,15543,8202814,344442,330703,7412,151,43183
2021-12-12,17,9359,8214043,344459,330730,7412,141,18079
2021-12-13,12,16366,8226043,344471,330744,7412,139,37502
2021-12-15,26,19347,8259865,344513,330775,7413,142,37241
2021-12-14,16,18964,8240359,344487,330761,7412,138,42429
2021-12-16,20,17561,8277466,344533,330784,7413,153,44448
2021-12-20,11,17144,8343334,344602,330828,7414,170,43631
2021-12-19,13,10697,8327335,344591,330820,7413,168,26904
2021-12-18,25,16730,8312321,344578,330811,7413,164,40653
2021-12-17,20,18305,8294827,344553,330797,7413,155,42465
2021-12-26,13,11438,8438550,344779,330938,7416,231,24590
2021-12-25,42,16062,8426309,344766,330920,7416,237,38503
2021-12-24,27,13397,8410797,344724,330886,7415,233,50538
2021-12-23,39,16840,8396219,344697,330872,7415,220,44844
2021-12-22,27,19061,8378695,344658,330869,7415,184,46407
2021-12-21,29,20191,8360117,344631,330858,7415,168,49070
2021-12-27,20,16629,8455401,344799,330973,7416,213,51845
2021-12-28,44,18877,8469908,344843,331001,7416,227,53506
2021-12-29,38,18658,8490294,344881,331043,7417,222,52621
2021-12-31,88,16708,8520840,345087,331150,7418,302,45205
2021-12-30,59,19040,8507179,344940,331059,7417,255,49130
2022-01-02,259,8111,8549459,345464,331294,7419,506,18492
2022-01-01,118,11964,8535930,345205,331184,7419,367,27454
2022-01-03,189,17013,8564987,345653,331398,7419,523,128338
2022-01-04,310,18699,8580902,345963,331509,7420,654,130813
2022-01-05,505,18467,8599349,346468,331628,7420,1000,96321
