,level_0,date,recovery_rate,recovered_patients,recovery_in_last_24_hrs,home_isolation_cumulative,home_isolation_new,hospitalized_patients_cumulative,hospitalized_patients_new,samples_tested_cumulative,samples_tested_new,tests_per_million,total_cases_cumulative,total_cases_new,deaths_cumulative,deaths_new,active_cases,hospital_discharged,day,month,year,Index
263,263,10-07-2021,97,163530,183,116826,129,28281,26,966989,4791,662982,168585,155,3095,7,1960,20,Saturday,Jul-21,2021,20210710
264,264,11-07-2021,97.07,163771,241,116925,99,28313,32,971186,4197,665859,168716,131,3097,2,1848,19,Sunday,Jul-21,2021,20210711
265,265,12-07-2021,97.12,163957,186,117014,89,28332,19,974304,3118,667997,168824,108,3097,0,1770,23,Monday,Jul-21,2021,20210712
266,266,14-07-2021,97.11,164326,171,117367,205,28370,22,984237,5651,674807,169215,227,3101,0,1788,15,Wednesday,Jul-21,2021,20210714
267,267,15-07-2021,97.12,164460,134,117474,107,28389,19,988300,4063,677593,169341,126,3102,1,1779,17,Thursday,Jul-21,2021,20210715
268,268,16-07-2021,97.19,164696,236,117579,105,28402,13,992730,4430,680630,169461,120,3106,4,1659,15,Friday,Jul-21,2021,20210716
269,269,17-07-2021,97.19,164848,152,117723,144,28417,15,997493,4763,683896,169620,159,3109,3,1663,15,Saturday,Jul-21,2021,20210717
270,270,19-07-2021,97.32,165292,225,117913,85,28446,14,1005297,3264,689246,169839,99,3111,0,1436,13,Monday,Jul-21,2021,20210719
271,271,20-07-2021,97.34,165449,157,118031,118,28460,14,1010133,4836,692562,169971,132,3113,2,1409,19,Tuesday,Jul-21,2021,20210720
272,272,21-07-2021,97.34,165571,122,118138,107,28484,24,1014560,4427,695597,170102,131,3118,5,1413,10,Wednesday,Jul-21,2021,20210721
273,273,22-07-2021,97.36,165700,129,118217,79,28502,18,1018313,3753,698170,170199,97,3123,5,1376,13,Thursday,Jul-21,2021,20210722
274,274,23-07-2021,97.4,165839,139,118278,61,28514,12,1021344,3031,700249,170272,73,3126,3,1307,13,Friday,Jul-21,2021,20210723
275,275,24-07-2021,97.44,166052,213,118411,133,28525,11,1027335,5991,704356,170416,144,3126,0,1238,10,Saturday,Jul-21,2021,20210724
276,276,25-07-2021,97.48,166201,149,118469,58,28542,17,1030783,3448,706720,170491,75,3132,6,1158,16,Sunday,Jul-21,2021,20210725
277,277,26-07-2021,97.5,166308,107,118547,78,28554,12,1034324,3541,709148,170581,90,3136,4,1137,13,Monday,Jul-21,2021,20210726
278,278,27-07-2021,97.5,166459,151,118682,135,28570,16,1039002,4678,712355,170729,148,3140,4,1130,15,Tuesday,Jul-21,2021,20210727
279,279,28-07-2021,97.53,166586,127,118749,67,28584,14,1043212,4210,715242,170810,81,3142,2,1082,24,Wednesday,Jul-21,2021,20210728
280,280,29-07-2021,97.53,166679,93,118820,71,28603,19,1047088,3876,717899,170900,90,3144,2,1077,14,Thursday,Jul-21,2021,20210729
281,281,30-07-2021,97.52,166813,134,118953,133,28622,19,1051410,4322,720862,171052,152,3146,2,1093,15,Friday,Jul-21,2021,20210730
282,282,31-07-2021,97.54,166941,128,119033,80,28636,14,1056184,4774,724135,171146,94,3147,1,1058,11,Saturday,Jul-21,2021,20210731
283,283,01-08-2021,97.57,167046,105,119078,45,28650,14,1059718,3534,726558,171205,59,3148,1,1011,17,Sunday,Aug-21,2021,20210801
284,284,02-08-2021,97.56,167118,72,119162,84,28656,6,1063703,3985,729290,171295,90,3150,2,1027,12,Monday,Aug-21,2021,20210802
285,285,03-08-2021,97.58,167245,127,119252,90,28667,11,1068173,4470,732355,171396,101,3152,2,999,10,Tuesday,Aug-21,2021,20210803
286,286,05-08-2021,97.56,167423,88,119436,85,28695,17,1078876,5932,739693,171608,102,3156,3,1029,11,Thursday,Aug-21,2021,20210805
287,287,06-08-2021,97.58,167556,133,119516,80,28712,17,1083561,4685,742905,171705,97,3157,1,992,11,Friday,Aug-21,2021,20210806
288,288,07-08-2021,97.58,167649,93,119608,92,28729,17,1089087,5526,746694,171814,109,3159,2,1006,10,Saturday,Aug-21,2021,20210807
289,289,08-08-2021,97.59,167736,87,119669,61,28737,8,1093954,4867,750031,171883,69,3160,1,987,6,Sunday,Aug-21,2021,20210808
290,290,09-08-2021,97.64,167884,148,119711,42,28756,19,1097404,3450,752396,171944,61,3164,4,896,5,Monday,Aug-21,2021,20210809
291,291,10-08-2021,97.61,167978,94,119837,126,28771,15,1102474,5070,755872,172085,141,3164,0,943,7,Tuesday,Aug-21,2021,20210810
292,292,11-08-2021,97.59,168041,63,119926,89,28785,14,1107531,5057,759340,172188,103,3164,0,983,14,Wednesday,Aug-21,2021,20210811
293,293,12-08-2021,97.59,168117,76,119997,71,28802,17,1112760,5229,762925,172276,88,3166,2,993,11,Thursday,Aug-21,2021,20210812
294,294,13-08-2021,97.61,168218,101,120051,54,28815,13,1118448,5688,766824,172343,67,3168,2,957,6,Friday,Aug-21,2021,20210813
295,295,14-08-2021,97.63,168338,120,120129,78,28825,10,1123864,5416,770538,172431,88,3168,0,925,6,Saturday,Aug-21,2021,20210814
296,296,15-08-2021,97.63,168423,85,120191,62,28838,13,1128724,4860,773870,172506,75,3171,3,912,5,Sunday,Aug-21,2021,20210815
297,297,16-08-2021,97.65,168519,96,120246,55,28845,7,1132949,4225,776767,172568,62,3176,5,873,4,Monday,Aug-21,2021,20210816
298,298,17-08-2021,97.65,168622,103,120350,104,28856,11,1138788,5839,780770,172683,115,3177,1,884,3,Tuesday,Aug-21,2021,20210817
299,299,19-08-2021,97.64,168764,59,120480,70,28889,13,1150269,6220,788641,172846,83,3180,2,902,10,Thursday,Aug-21,2021,20210819
300,300,21-08-2021,97.63,168989,111,120693,110,28918,12,1160150,5483,795416,173088,122,3184,2,915,13,Saturday,Aug-21,2021,20210821
301,301,22-08-2021,97.64,169080,91,120755,62,28932,14,1164004,3854,798058,173164,76,3185,1,899,5,Sunday,Aug-21,2021,20210822
302,302,23-08-2021,97.66,169160,80,120801,46,28943,11,1168151,4147,800902,173221,57,3186,1,875,5,Monday,Aug-21,2021,20210823
303,303,24-08-2021,97.62,169239,79,120923,122,28957,14,1173071,4920,804275,173357,136,3186,0,932,8,Tuesday,Aug-21,2021,20210824
304,304,25-08-2021,97.62,169314,75,120982,59,28975,18,1178040,4969,807682,173434,77,3187,1,933,6,Wednesday,Aug-21,2021,20210825
305,305,26-08-2021,97.61,169385,71,121065,83,28984,9,1183530,5490,811446,173526,92,3191,4,950,8,Thursday,Aug-21,2021,20210826
306,306,27-08-2021,97.62,169480,95,121131,66,28998,14,1189172,5642,815314,173606,80,3191,0,935,7,Friday,Aug-21,2021,20210827
307,307,28-08-2021,97.61,169572,92,121223,92,29017,19,1193853,4681,818523,173717,111,3193,2,952,4,Saturday,Aug-21,2021,20210828
308,308,29-08-2021,97.62,169651,79,121282,59,29032,15,1199547,5694,822427,173791,74,3195,2,945,9,Sunday,Aug-21,2021,20210829
309,309,30-08-2021,97.65,169769,118,121328,46,29045,13,1203513,3966,825146,173850,59,3198,3,883,6,Monday,Aug-21,2021,20210830
310,310,31-08-2021,97.66,169877,108,121416,88,29062,17,1208817,5304,828783,173955,105,3201,3,877,7,Tuesday,Aug-21,2021,20210831
311,311,01-09-2021,97.65,169959,82,121492,76,29081,19,1213926,5109,832286,174050,95,3202,1,889,4,Wednesday,Sep-21,2021,20210901
312,312,02-09-2021,97.64,170031,72,121574,82,29095,14,1220683,6757,836918,174146,96,3202,0,913,10,Thursday,Sep-21,2021,20210902
313,313,03-09-2021,97.65,170151,120,121667,93,29106,11,1225474,4791,840203,174250,104,3203,1,896,5,Friday,Sep-21,2021,20210903
314,314,04-09-2021,97.63,170222,71,121744,77,29126,20,1231435,5961,844290,174347,97,3203,0,922,7,Saturday,Sep-21,2021,20210904
315,315,05-09-2021,97.64,170311,89,121794,50,29148,22,1236809,5374,847975,174419,72,3208,5,900,7,Sunday,Sep-21,2021,20210905
316,316,06-09-2021,97.65,170391,80,121848,54,29161,13,1240754,3945,850679,174486,67,3210,2,885,8,Monday,Sep-21,2021,20210906
317,317,07-09-2021,97.67,170496,105,121911,63,29172,11,1245528,4774,853952,174560,74,3210,0,854,11,Tuesday,Sep-21,2021,20210907
318,318,08-09-2021,97.67,170578,82,121977,66,29192,20,1251255,5727,857879,174646,86,3212,2,856,6,Wednesday,Sep-21,2021,20210908
319,319,09-09-2021,97.66,170635,57,122038,61,29210,18,1256768,5513,861659,174725,79,3212,0,878,6,Thursday,Sep-21,2021,20210909
320,320,10-09-2021,97.68,170716,81,122066,28,29227,17,1260789,4021,864416,174770,45,3214,2,840,9,Friday,Sep-21,2021,20210910
321,321,11-09-2021,97.72,170808,92,122081,15,29241,14,1263736,2947,866436,174799,29,3216,2,775,12,Saturday,Sep-21,2021,20210911
322,322,12-09-2021,97.74,170882,74,122105,24,29255,14,1266413,2677,868271,174837,38,3217,1,738,5,Sunday,Sep-21,2021,20210912
323,323,13-09-2021,97.76,170972,90,122150,45,29264,9,1269754,3341,870562,174891,54,3217,0,702,3,Monday,Sep-21,2021,20210913
324,324,14-09-2021,97.75,171064,92,122246,96,29277,13,1275971,6217,874825,175000,109,3219,2,717,7,Tuesday,Sep-21,2021,20210914
325,325,15-09-2021,97.72,171099,103,122318,72,29293,16,1279588,3617,877304,175088,88,3289,2,700,11,Wednesday,Sep-21,2021,20210915
326,326,16-09-2021,97.72,171195,96,122401,83,29305,12,1284660,5072,880782,175183,95,3289,0,699,5,Thursday,Sep-21,2021,20210916
327,327,17-09-2021,97.71,171270,75,122498,97,29316,11,1289799,5139,884305,175291,108,3290,1,731,13,Friday,Sep-21,2021,20210917
328,328,18-09-2021,97.68,171351,81,122567,69,29328,12,1295428,5629,888165,175414,123,3292,2,771,7,Saturday,Sep-21,2021,20210918
329,329,19-09-2021,97.68,171430,79,122635,68,29344,16,1299606,4178,891029,175498,84,3294,2,774,8,Sunday,Sep-21,2021,20210919
330,330,20-09-2021,97.66,171478,48,122702,67,29362,18,1303331,3725,893583,175583,85,3295,1,810,5,Monday,Sep-21,2021,20210920
331,331,21-09-2021,97.62,171507,29,122789,87,29382,20,1308020,4689,896798,175690,107,3297,2,886,7,Tuesday,Sep-21,2021,20210921
332,332,22-09-2021,97.58,171545,38,122876,87,29397,15,1313965,5945,900874,175792,102,3297,0,950,13,Wednesday,Sep-21,2021,20210922
333,333,23-09-2021,97.57,171599,54,122945,69,29408,11,1319979,6014,904997,175872,80,3297,0,976,7,Thursday,Sep-21,2021,20210923
334,334,24-09-2021,97.58,171692,93,123016,71,29421,13,1324081,4102,907809,175956,84,3299,2,965,7,Friday,Sep-21,2021,20210924
335,335,25-09-2021,97.59,171776,84,123057,41,29445,24,1329457,5376,911495,176021,65,3299,0,946,8,Saturday,Sep-21,2021,20210925
336,336,26-09-2021,97.6,171874,98,123121,64,29455,10,1334309,4852,914822,176095,74,3303,4,918,7,Sunday,Sep-21,2021,20210926
337,337,27-09-2021,97.64,171980,106,123159,38,29467,12,1337966,3657,917329,176145,50,3303,0,862,6,Monday,Sep-21,2021,20210927
338,338,28-09-2021,97.65,172094,114,123233,74,29483,16,1343105,5139,920853,176235,90,3308,5,833,7,Tuesday,Sep-21,2021,20210928
339,339,29-09-2021,97.65,172176,82,123301,68,29498,15,1348354,5249,924451,176318,83,3312,4,830,5,Wednesday,Sep-21,2021,20210929
340,340,30-09-2021,97.64,172261,85,123390,89,29522,24,1353489,5135,927972,176431,113,3314,2,856,8,Thursday,Sep-21,2021,20210930
341,341,01-10-2021,97.65,172360,99,123456,66,29540,18,1357968,4479,931043,176515,84,3317,3,838,7,Friday,Oct-21,2021,20211001
342,342,02-10-2021,97.66,172463,103,123521,65,29554,14,1362664,4696,934263,176594,79,3317,0,814,8,Saturday,Oct-21,2021,20211002
343,343,03-10-2021,84.6,29527,523,16479,287,10002,83,25977,1492,178106,34900,445,450,8,4923,,Sunday,Oct-21,2021,20211003
344,344,04-10-2021,85.01,30033,506,16741,262,10094,92,260995,1218,178942,35328,428,456,6,4839,,Monday,Oct-21,2021,20211004
345,345,05-10-2021,97.7,172698,66,123658,77,29590,9,1373627,4256,941779,176767,86,3322,2,747,7,Tuesday,Oct-21,2021,20211005
346,346,06-10-2021,97.69,172770,72,123738,80,29607,17,1378403,4776,945053,176864,97,3322,0,772,8,Wednesday,Oct-21,2021,20211006
347,347,07-10-2021,97.68,172822,52,123787,49,29618,11,1382263,3860,947700,176924,60,3323,1,779,4,Thursday,Oct-21,2021,20211007
348,348,08-10-2021,97.7,172907,85,123836,49,29625,7,1386708,4445,950747,176980,56,3325,2,748,3,Friday,Oct-21,2021,20211008
349,349,09-10-2021,97.71,172981,74,123888,52,29633,8,1391366,4658,953941,177040,60,3326,1,733,6,Saturday,Oct-21,2021,20211009
350,350,10-10-2021,97.72,173074,93,123949,61,29645,12,1396558,5192,957501,177113,73,3329,3,710,12,Sunday,Oct-21,2021,20211010
351,351,11-10-2021,97.75,173171,97,123973,24,29656,11,1400402,3844,960136,177148,35,3330,1,647,6,Monday,Oct-21,2021,20211011
352,352,12-10-2021,97.76,173252,81,124040,67,29669,13,1403944,3542,962565,177228,80,3332,2,644,7,Tuesday,Oct-21,2021,20211012
353,353,13-10-2021,97.75,173303,51,124091,51,29678,9,1407727,3783,965158,177288,60,3333,1,652,3,Wednesday,Oct-21,2021,20211013
354,354,14-10-2021,97.74,173342,39,124149,58,29688,10,1411608,3881,967819,177356,68,3335,2,679,6,Thursday,Oct-21,2021,20211014
355,355,16-10-2021,97.77,173510,87,124242,46,29701,6,1419312,4188,973101,177462,52,3342,3,610,7,Saturday,Oct-21,2021,20211016
356,356,17-10-2021,97.77,173572,62,124295,53,29708,7,1423081,3769,975685,177522,60,3346,4,604,9,Sunday,Oct-21,2021,20211017
357,357,18-10-2021,97.78,173629,57,124337,42,29719,11,1426583,3502,978086,177579,57,3350,4,600,6,Monday,Oct-21,2021,20211018
358,358,19-10-2021,97.76,173685,56,124410,73,29726,7,1430772,4189,980958,177659,80,3354,4,620,8,Tuesday,Oct-21,2021,20211019
359,359,20-10-2021,97.78,173755,70,124451,41,29732,6,1435769,4997,984384,177706,47,3354,0,597,6,Wednesday,Oct-21,2021,20211020
360,360,21-10-2021,97.76,173790,35,124503,52,29739,7,1439828,4059,987167,177765,59,3357,3,618,3,Thursday,Oct-21,2021,20211021
361,361,22-10-2021,97.77,173862,72,124552,49,29744,5,1443383,3555,989605,177819,54,3357,0,600,7,Friday,Oct-21,2021,20211022
362,362,23-10-2021,97.79,173920,58,124576,24,29753,9,1446807,3424,991952,177852,33,3358,1,574,3,Saturday,Oct-21,2021,20211023
363,363,24-10-2021,97.81,173983,63,124606,30,29757,4,1449373,2566,993712,177886,34,3358,0,545,2,Sunday,Oct-21,2021,20211024
364,364,25-10-2021,97.82,174042,59,124632,26,29760,3,1452375,3002,995770,177915,29,3358,0,515,1,Monday,Oct-21,2021,20211025
365,365,26-10-2021,97.84,174101,59,124659,27,29764,4,1455309,2934,997781,177946,31,3362,4,483,3,Tuesday,Oct-21,2021,20211026
366,366,27-10-2021,97.86,174152,51,124678,19,29768,4,1458499,3190,999968,177969,23,3363,1,454,5,Wednesday,Oct-21,2021,20211027
367,367,28-10-2021,97.87,174216,64,124721,43,29772,4,1460982,2483,1001671,178016,47,3363,0,437,4,Thursday,Oct-21,2021,20211028
368,368,29-10-2021,97.88,174289,73,124760,39,29780,8,1463383,2401,1003317,178063,47,3363,0,411,2,Friday,Oct-21,2021,20211029
369,369,30-10-2021,97.9,174339,50,124778,18,29784,4,1466038,2655,1005137,178085,22,3364,1,382,2,Saturday,Oct-21,2021,20211030
370,370,31-10-2021,97.91,174392,53,124798,20,29787,3,1468399,2361,1006756,178108,23,3364,0,352,2,Sunday,Oct-21,2021,20211031
371,371,01-11-2021,97.94,174447,55,124809,11,29789,2,1470472,2073,1008177,178121,13,3364,0,310,4,Monday,Nov-21,2021,20211101
372,372,02-11-2021,97.93,174485,38,124851,42,29792,3,1472989,2517,1009903,178166,45,3366,2,315,2,Tuesday,Nov-21,2021,20211102
373,373,03-11-2021,97.93,174518,33,124886,35,29795,3,1475434,2445,1011579,178204,38,3366,0,320,1,Wednesday,Nov-21,2021,20211103
374,374,04-11-2021,97.92,174542,,124926,40,29796,1,1478023,2589,1013354,178245,41,3366,0,337,1,Thursday,Nov-21,2021,20211104
375,375,05-11-2021,97.93,174578,36,124938,12,29799,3,1479728,1705,1014523,178260,15,3366,0,316,1,Friday,Nov-21,2021,20211105
376,376,06-11-2021,97.94,174601,23,124957,19,29801,2,1483164,3436,1016879,178281,21,3367,1,313,3,Saturday,Nov-21,2021,20211106
377,377,08-11-2021,97.95,174686,42,125007,24,29812,6,1488234,2262,1020355,178342,30,3370,2,286,2,Monday,Nov-21,2021,20211108
378,378,09-11-2021,97.95,174712,26,125028,21,29816,4,1492139,3905,1023033,178367,25,3370,0,285,1,Tuesday,Nov-21,2021,20211109
379,379,10-11-2021,97.95,174734,22,125057,29,29819,3,1495561,3422,1025379,178399,32,3371,1,294,3,Wednesday,Nov-21,2021,20211110
380,380,11-11-2021,97.94,174753,19,125077,20,29822,3,1498923,3362,1027684,178422,23,3371,0,298,4,Thursday,Nov-21,2021,20211111
381,381,12-11-2021,97.95,174794,41,125098,21,29824,2,1501496,2573,1029448,178445,23,3372,1,279,3,Friday,Nov-21,2021,20211112
382,382,13-11-2021,97.96,174830,36,125116,18,29828,4,1504201,2705,1031302,178467,22,3374,2,263,2,Saturday,Nov-21,2021,20211113
383,383,14-11-2021,97.97,174870,40,125129,13,29833,5,1506282,2081,1032729,178485,18,3374,0,241,3,Sunday,Nov-21,2021,20211114
384,384,15-11-2021,97.97,174885,15,125150,21,29837,4,1508457,2175,1034220,178510,25,3375,1,250,1,Monday,Nov-21,2021,20211115
385,385,16-11-2021,97.97,174905,20,125165,15,29845,8,1511156,2699,1036071,178533,23,3376,1,252,5,Tuesday,Nov-21,2021,20211116
386,386,17-11-2021,97.96,174934,29,125196,31,29850,5,1513909,2753,1037958,178569,36,3376,0,259,3,Wednesday,Nov-21,2021,20211117
387,387,18-11-2021,97.97,174965,31,125214,18,29857,7,1516544,2635,1039765,178594,25,3377,1,252,2,Thursday,Nov-21,2021,20211118
388,388,19-11-2021,97.97,174989,,125230,16,29861,4,1519933,3389,1042089,178614,20,3377,0,248,3,Friday,Nov-21,2021,20211119
389,389,20-11-2021,97.97,175022,33,125258,28,29864,3,1521983,2050,1043494,178645,31,3377,0,246,1,Saturday,Nov-21,2021,20211120
390,390,22-11-2021,97.98,175068,20,125284,13,29870,3,1526248,2127,1046418,178677,16,3378,0,231,1,Monday,Nov-21,2021,20211122
391,391,23-11-2021,97.97,175087,19,125311,27,29875,5,1528789,2541,1048160,178709,32,3378,0,244,3,Tuesday,Nov-21,2021,20211123
392,392,24-11-2021,97.97,175107,20,125330,19,29878,3,1531662,2873,1050130,178731,22,3378,0,246,2,Wednesday,Nov-21,2021,20211124
393,393,25-11-2021,97.97,175130,23,125358,28,29884,6,1533783,2121,1051584,178765,34,3380,2,255,2,Thursday,Nov-21,2021,20211125
394,394,26-11-2021,97.96,175152,22,125388,30,29888,4,1536121,2338,1053187,178799,34,3381,1,266,3,Friday,Nov-21,2021,20211126
395,395,27-11-2021,97.96,175183,31,125425,37,29891,3,1538864,2743,1055068,178839,40,3381,0,275,2,Saturday,Nov-21,2021,20211127
396,396,28-11-2021,97.96,175211,28,125451,26,29892,1,1540655,1791,1056296,178866,27,3382,1,273,4,Sunday,Nov-21,2021,20211128
397,397,29-11-2021,97.95,175230,19,125473,22,29894,2,1542250,1595,1057389,178890,24,3384,2,276,3,Monday,Nov-21,2021,20211129
398,398,30-11-2021,97.95,175260,30,125509,36,29896,2,1544948,2698,1059239,178928,38,3384,0,284,4,Tuesday,Nov-21,2021,20211130
399,399,01-12-2021,97.93,175279,19,125568,59,29899,3,1548048,3100,1061365,178990,62,3384,0,327,1,Wednesday,Dec-21,2021,20211201
400,400,02-12-2021,97.91,175295,16,125623,55,29900,1,1550787,2739,1063242,179046,56,3384,0,367,2,Thursday,Dec-21,2021,20211202
401,401,03-12-2021,97.9,175323,28,125663,40,29902,2,1553433,2646,1065057,179088,42,3385,1,380,1,Friday,Dec-21,2021,20211203
402,402,04-12-2021,97.89,175344,21,125699,36,29903,1,1555755,2322,1066649,179125,37,3387,2,394,0,Saturday,Dec-21,2021,20211204
403,403,05-12-2021,97.88,175375,31,125746,47,29905,2,1558514,2759,1068540,179174,49,3387,0,412,1,Sunday,Dec-21,2021,20211205
404,404,06-12-2021,97.88,175409,34,125774,28,29912,7,1560454,1940,1069870,179209,35,3387,0,413,0,Monday,Dec-21,2021,20211206
405,405,07-12-2021,97.88,175450,41,125803,29,29916,4,1563570,3116,1072007,179242,33,3388,1,404,0,Tuesday,Dec-21,2021,20211207
406,406,08-12-2021,97.86,175478,28,125859,56,29925,9,1567149,3579,1074461,179307,65,3388,0,441,1,Wednesday,Dec-21,2021,20211208
407,407,10-12-2021,97.81,175443,35,125921,35,29931,2,1572983,2796,1078460,179375,37,3482,0,450,0,Friday,Dec-21,2021,20211210
408,408,11-12-2021,97.82,175501,58,125963,42,29933,2,1576114,3131,1080607,179419,44,3482,0,436,2,Saturday,Dec-21,2021,20211211
409,409,12-12-2021,97.83,175561,60,125995,32,29936,3,1578233,2119,1082060,179454,35,3482,0,411,1,Sunday,Dec-21,2021,20211212
410,410,13-12-2021,97.85,175605,44,126009,14,29937,1,1579629,1396,1083017,179469,15,3482,0,382,0,Monday,Dec-21,2021,20211213
411,411,14-12-2021,97.84,175641,36,126052,43,29938,1,1582515,2886,1084996,179513,44,3482,0,390,2,Tuesday,Dec-21,2021,20211214
412,412,15-12-2021,97.84,175692,51,126103,51,29939,1,1586130,3615,1087474,179565,52,3482,0,391,1,Wednesday,Dec-21,2021,20211215
413,413,16-12-2021,97.84,175724,32,126136,33,29942,3,1588933,2803,1089396,179601,36,3485,3,392,1,Thursday,Dec-21,2021,20211216
414,414,17-12-2021,97.83,175757,33,126182,46,29946,4,1591560,2627,1091197,179651,50,3485,0,409,2,Friday,Dec-21,2021,20211217
415,415,18-12-2021,97.84,175820,63,126222,40,29949,3,1595011,3451,1093563,179694,43,3485,0,389,1,Saturday,Dec-21,2021,20211218
416,416,20-12-2021,97.84,175888,37,126291,26,29955,1,1598628,1374,1096043,179769,27,3485,0,396,1,Monday,Dec-21,2021,20211220
417,417,21-12-2021,97.83,175898,39,126322,31,29956,1,1601291,2663,1097869,179801,32,3515,1,388,3,Tuesday,Dec-21,2021,20211221
418,418,22-12-2021,97.83,175934,36,126362,40,29959,3,1603732,2441,1099542,179844,43,3518,3,392,0,Wednesday,Dec-21,2021,20211222
419,419,23-12-2021,97.81,175951,17,126414,52,29961,2,1606075,2343,1101149,179898,54,3518,0,429,3,Thursday,Dec-21,2021,20211223
420,420,24-12-2021,97.79,175994,43,126480,66,29962,1,1607977,1902,1102453,179965,67,3518,0,453,2,Friday,Dec-21,2021,20211224
421,421,25-12-2021,97.79,176045,51,126538,58,29964,2,1610709,2732,1104326,180025,60,3519,1,461,1,Saturday,Dec-21,2021,20211225
422,422,26-12-2021,97.8,176082,37,126560,22,29967,3,1611782,1073,1105062,180050,25,3519,0,449,1,Sunday,Dec-21,2021,20211226
423,423,27-12-2021,97.79,176133,51,126625,65,29969,2,1613460,1678,1106212,180117,67,3519,0,465,0,Monday,Dec-21,2021,20211227
424,424,28-12-2021,97.75,176174,41,126737,112,29969,0,1616236,2776,1108115,180229,112,3520,1,535,0,Tuesday,Dec-21,2021,20211228
425,425,29-12-2021,97.68,176222,48,126905,168,29971,2,1619473,3237,1110335,180399,170,3520,0,657,3,Wednesday,Dec-21,2021,20211229
426,426,30-12-2021,97.58,176283,61,127165,260,29972,1,1623083,3610,1112810,180660,261,3521,1,856,2,Thursday,Dec-21,2021,20211230
427,427,31-12-2021,97.47,176304,21,127374,209,29975,3,1626141,3058,1114906,180872,212,3522,1,1046,1,Friday,Dec-21,2021,20211231
428,428,01-01-2022,97.32,176322,18,127681,307,29978,3,1631100,4959,1118306,181182,310,3522,0,1338,0,Saturday,Jan-22,2022,20220101
429,429,03-01-2022,96.84,176438,62,128691,626,29987,5,1637091,2387,1122414,182201,631,3523,0,2240,3,Monday,Jan-22,2022,20220103
