date,district,cases_today,percentage_tests_positive,outside_source_details,case_details,remarks,cases_total,active_cases,recovered_total,deaths_total
2021-07-23,patiala,4,0.19,,4 new cases,,48671,28,47306,1337
2021-07-23,ludhiana,3,0.03,,3 new cases (opd),,87256,71,85092,2093
2021-07-23,barnala,2,0.53,,2 new cases,,5896,16,5640,240
2021-07-23,fazilka,2,0.26,,2 new cases (opd),,20129,51,19553,525
2021-07-23,kapurthala,2,0.17,,2 new cases,,17724,22,17150,552
2021-07-23,fg sahib,1,0.11,,1 new case,,8771,10,8483,278
2021-07-23,gurdaspur,1,0.04,,1 new case,,22215,32,21386,797
2021-07-23,mansa,1,0.13,,1 new case,,15565,12,15252,301
2021-07-23,moga,1,0.17,,1 new case,,8612,5,8376,231
2021-07-23,pathankot,1,0.1,,1 new case,,18563,16,18134,413
2021-07-23,sangrur,1,0.04,,1 new case (ili),,15671,17,14787,867
2021-07-23,tarn taran,1,0.11,,1 new case,,7966,18,7578,370
2021-07-23,ropar,0,0,,,,12866,9,12441,416
2021-07-23,sbs nagar,0,0,,,,11423,4,11048,371
2021-07-23,on the daypunjab,69,0.17,,,,,,,
2021-07-23,total,,,,,,598658,768,581634,16256
2021-07-22,jalandhar,13,0.34,,13 new cases,,63036,94,61453,1489
2021-07-22,bathinda,10,1.3,,10 new cases,,41474,96,40339,1039
2021-07-22,ferozepur,6,0.96,,6 new cases,,14199,63,13646,490
2021-07-22,gurdaspur,6,0.22,,6 new cases,,22214,34,21383,797
2021-07-22,amritsar,5,0.15,,5 new cases,,47020,62,45378,1580
2021-07-22,ludhiana,4,0.05,,"1 new case (ili), 3 new cases (opd)",,87253,84,85076,2093
2021-07-22,fg sahib,3,0.32,,3 new cases,,8769,12,8481,276
2021-07-22,hoshiarpur,3,0.18,,3 new cases,,30616,47,29595,974
2021-07-22,sas nagar,3,0.37,,3 new cases,,68417,39,67322,1056
2021-07-22,barnala,2,0.27,,2 new cases,,5894,15,5639,240
2021-07-22,faridkot,2,0.18,,2 new cases,,13813,31,13471,311
2021-07-22,fazilka,2,0.54,,2 new cases (opd),,20127,51,19551,525
2021-07-22,kapurthala,2,0.13,,2 new cases,,17722,30,17140,552
2021-07-22,mansa,2,0.3,,2 new cases,,15564,14,15250,300
2021-07-22,patiala,2,0.14,,2 new cases,,48668,29,47302,1337
2021-07-22,sangrur,2,0.1,,2 new cases (ili),,15670,18,14785,867
2021-07-22,muktsar,1,0.05,,1 new case,,18706,33,18150,523
2021-07-22,ropar,1,0.17,,1 new case,,12866,12,12438,416
2021-07-22,moga,0,0,,,,8611,6,8374,231
2021-07-22,pathankot,0,0,,,,18562,16,18133,413
2021-07-22,sbs nagar,0,0,,,,11424,5,11048,371
2021-07-22,tarn taran,0,0,,,,7965,20,7575,370
2021-07-22,on the daypunjab,69,0.19,,,,,,,
2021-07-22,total,,,,,,598590,811,581529,16250
2021-07-21,jalandhar,10,0.21,,10 new cases,,63023,102,61432,1489
2021-07-21,bathinda,6,0.48,,6 new cases,,41464,99,40327,1038
2021-07-21,ferozepur,6,0.57,,6 new cases,,14193,59,13644,490
2021-07-21,amritsar,5,0.15,,5 new cases,,47015,63,45372,1580
2021-07-21,fazilka,5,0.8,,"1 contact of positive case,1 new case(ili), 3 new cases (opd)",,20125,51,19549,525
2021-07-21,ludhiana,5,0.07,,"2 new cases (ili), 3 new cases",,87249,104,85052,2093
2021-07-21,patiala,5,0.21,,"2 contact of positive case, 3 new cases",,48666,28,47301,1337
2021-07-21,sas nagar,5,0.49,,5 new cases,,68414,43,67315,1056
2021-07-21,faridkot,4,0.5,,4 new cases,,13811,36,13464,311
2021-07-21,hoshiarpur,4,0.18,,"1 contact of positive case, 3 new cases",,30613,47,29592,974
2021-07-21,muktsar,3,0.14,,3 new cases,,18705,44,18138,523
2021-07-21,kapurthala,2,0.15,,2 new cases,,17720,29,17140,551
2021-07-21,sangrur,2,0.09,,2 new cases,,15668,21,14780,867
2021-07-21,barnala,1,0.32,,1 new case,,5892,15,5637,240
2021-07-21,gurdaspur,1,0.03,,1 new case,,22208,41,21370,797
2021-07-21,moga,1,0.23,,1 new case,,8611,6,8374,231
2021-07-21,pathankot,1,0.1,,1 new case,,18562,16,18133,413
